equipment_id,cycle,vibration_rms,temperature,current,runtime_hours
EQ001,66,0.8452,63.51,10.554,165.0
EQ001,67,0.8561,64.08,10.657,167.5
EQ001,68,0.8427,65.21,10.668,170.0
EQ001,69,0.8483,65.94,10.65,172.5
EQ001,70,0.8645,65.99,10.838,175.0
EQ001,71,0.8706,66.38,10.818,177.5
EQ001,72,0.8958,66.87,10.791,180.0
EQ001,73,0.8887,67.28,10.772,182.5
EQ001,74,0.8759,67.86,10.968,185.0
EQ001,75,0.8897,67.73,10.983,187.5
EQ001,76,0.942,68.59,10.912,190.0
EQ001,77,0.9278,69.57,10.956,192.5
EQ001,78,0.9297,69.27,10.969,195.0
EQ001,79,0.9471,70.56,11.109,197.5
EQ001,80,0.9515,70.24,10.995,200.0
EQ001,81,0.971,70.77,11.143,202.5
EQ001,82,1.0022,71.36,11.135,205.0
EQ001,83,0.9742,72.14,11.242,207.5
EQ001,84,0.9722,72.5,11.217,210.0
EQ001,85,1.0134,73.01,11.272,212.5
EQ001,86,1.0157,73.04,11.413,215.0
EQ001,87,1.0158,73.12,11.331,217.5
EQ001,88,1.0294,73.77,11.388,220.0
EQ001,89,1.0177,74.52,11.622,222.5
EQ001,90,1.0247,74.8,11.608,225.0
EQ001,91,1.0428,75.42,11.447,227.5
EQ001,92,1.056,75.61,11.649,230.0
EQ001,93,1.0717,77.16,11.654,232.5
EQ001,94,1.0712,76.65,11.616,235.0
EQ001,95,1.0795,76.89,11.696,237.5
EQ001,96,1.0974,77.05,11.811,240.0
EQ001,97,1.1056,77.85,11.587,242.5
EQ001,98,1.0945,78.86,11.793,245.0
EQ001,99,1.0987,78.59,11.899,247.5
EQ001,100,1.1223,79.14,11.84,250.0
EQ001,101,1.1211,79.31,12.036,252.5
EQ001,102,1.1299,80.61,12.066,255.0
EQ001,103,1.1512,80.39,12.014,257.5
EQ001,104,1.1492,80.65,12.045,260.0
EQ001,105,1.1457,81.93,12.02,262.5
EQ001,106,1.1677,82.01,12.073,265.0
EQ001,107,1.1797,82.15,12.201,267.5
EQ001,108,1.1685,82.83,12.324,270.0
EQ001,109,1.1801,82.96,12.248,272.5
EQ001,110,1.2,83.81,12.283,275.0
EQ001,111,1.2127,84.56,12.314,277.5
EQ001,112,1.2121,84.83,12.471,280.0
EQ001,113,1.2213,84.61,12.445,282.5
EQ001,114,1.2296,84.58,12.462,285.0
EQ001,115,1.2336,85.86,12.458,287.5
EQ001,116,1.249,86.62,12.434,290.0
EQ001,117,1.2604,86.68,12.565,292.5
EQ001,118,1.2695,86.85,12.63,295.0
EQ001,119,1.2662,87.99,12.61,297.5
EQ001,120,1.298,88.02,12.591,300.0
EQ002,1,0.2993,35.32,8.333,2.5
EQ002,2,0.2902,35.4,8.231,5.0
EQ002,3,0.3227,36.87,8.355,7.5
EQ002,4,0.3184,36.59,8.504,10.0
EQ002,5,0.3176,37.03,8.536,12.5
EQ002,6,0.3388,37.39,8.585,15.0
EQ002,7,0.3136,37.95,8.5,17.5
EQ002,8,0.3292,38.26,8.71,20.0
EQ002,9,0.353,38.81,8.776,22.5
EQ002,10,0.3744,39.46,8.753,25.0
EQ002,11,0.3688,38.53,8.722,27.5
EQ002,12,0.3665,40.42,8.774,30.0
EQ002,13,0.383,40.14,8.839,32.5
EQ002,14,0.4056,40.05,8.898,35.0
EQ002,15,0.3881,40.14,8.881,37.5
EQ002,16,0.402,40.87,8.922,40.0
EQ002,17,0.3952,41.38,8.904,42.5
EQ002,18,0.4237,41.82,8.955,45.0
EQ002,19,0.4199,41.86,9.144,47.5
EQ002,20,0.4432,41.78,9.175,50.0
EQ002,21,0.4351,43.18,9.23,52.5
EQ002,22,0.436,43.15,9.197,55.0
EQ002,23,0.4612,43.66,9.46,57.5
EQ002,24,0.4567,43.74,9.234,60.0
EQ002,25,0.4461,43.77,9.424,62.5
EQ002,26,0.4761,44.14,9.521,65.0
EQ002,27,0.473,45.21,9.626,67.5
EQ002,28,0.4937,45.41,9.472,70.0
EQ002,29,0.4701,45.61,9.574,72.5
EQ002,30,0.4886,46.21,9.644,75.0
EQ002,31,0.503,46.38,9.699,77.5
EQ002,32,0.5166,46.58,9.845,80.0
EQ002,33,0.518,47.39,9.836,82.5
EQ002,34,0.5282,48.14,9.85,85.0
EQ002,35,0.5266,48.28,9.783,87.5
EQ002,36,0.5407,48.49,9.905,90.0
EQ002,37,0.5452,48.13,9.925,92.5
EQ002,38,0.5542,49.32,9.934,95.0
EQ002,39,0.5728,49.28,10.141,97.5
EQ002,40,0.5713,49.74,10.252,100.0
EQ002,41,0.562,50.74,10.238,102.5
EQ002,42,0.5741,51.3,10.185,105.0
EQ002,43,0.5905,51.22,10.241,107.5
EQ002,44,0.6026,51.81,10.159,110.0
EQ002,45,0.6144,51.2,10.429,112.5
EQ002,46,0.6195,51.8,10.361,115.0
EQ002,47,0.604,52.52,10.416,117.5
EQ002,48,0.6297,53.51,10.6,120.0
EQ002,49,0.6232,53.27,10.4,122.5
EQ002,50,0.6276,54.12,10.712,125.0
EQ002,51,0.6302,53.87,10.627,127.5
EQ002,52,0.6522,54.15,10.711,130.0
EQ002,53,0.6515,54.84,10.768,132.5
EQ002,54,0.6632,55.05,10.762,135.0
EQ002,55,0.6691,55.45,10.798,137.5
EQ002,56,0.6928,56.19,10.842,140.0
EQ002,57,0.6906,56.21,11.007,142.5
EQ002,58,0.6942,56.67,10.996,145.0
EQ002,59,0.6817,56.64,10.912,147.5
EQ002,60,0.7057,58.15,11.233,150.0
EQ002,61,0.7175,58.03,10.957,152.5
EQ002,62,0.7126,57.89,11.099,155.0
EQ002,63,0.7232,58.39,11.038,157.5
EQ002,64,0.7392,58.52,11.262,160.0
EQ002,65,0.7593,58.96,11.088,162.5
EQ002,66,0.7426,60.14,11.494,165.0
EQ002,67,0.74,60.27,11.348,167.5
EQ002,68,0.7581,61.5,11.312,170.0
EQ002,69,0.7685,61.01,11.566,172.5
EQ002,70,0.7738,61.32,11.495,175.0
EQ002,71,0.7824,61.43,11.623,177.5
EQ002,72,0.7829,62.09,11.619,180.0
EQ002,73,0.8047,62.29,11.526,182.5
EQ002,74,0.8129,62.32,11.663,185.0
EQ002,75,0.8012,63.61,11.592,187.5
EQ002,76,0.8454,63.85,11.828,190.0
EQ002,77,0.8203,63.92,11.899,192.5
EQ002,78,0.8342,64.4,11.911,195.0
EQ002,79,0.8326,64.49,11.936,197.5
EQ002,80,0.8528,65.16,11.763,200.0
EQ002,81,0.8549,65.38,12.044,202.5
EQ002,82,0.8513,66.12,12.169,205.0
EQ002,83,0.8543,66.21,12.062,207.5
EQ002,84,0.8551,66.17,12.256,210.0
EQ002,85,0.8853,67.0,12.293,212.5
EQ002,86,0.8878,66.91,12.316,215.0
EQ002,87,0.8975,67.84,12.424,217.5
EQ002,88,0.9034,68.05,12.462,220.0
EQ002,89,0.903,67.93,12.41,222.5
EQ002,90,0.9026,68.39,12.459,225.0
EQ002,91,0.909,68.91,12.366,227.5
EQ002,92,0.9259,69.4,12.5,230.0
EQ002,93,0.9373,70.15,12.484,232.5
EQ002,94,0.9299,69.84,12.584,235.0
EQ002,95,0.9527,70.45,12.685,237.5
EQ002,96,0.9312,71.15,12.655,240.0
EQ002,97,0.9587,71.38,12.91,242.5
EQ002,98,0.9519,70.43,12.863,245.0
EQ002,99,0.9898,72.51,12.912,247.5
EQ002,100,0.9738,72.71,12.865,250.0
EQ002,101,0.9903,72.96,13.075,252.5
EQ002,102,1.02,73.29,12.996,255.0
EQ002,103,0.999,72.8,13.029,257.5
EQ002,104,1.002,73.67,13.144,260.0
EQ002,105,1.0048,74.7,13.179,262.5
EQ002,106,1.0198,74.5,13.238,265.0
EQ002,107,1.035,74.65,13.22,267.5
EQ002,108,1.0305,74.84,13.255,270.0
EQ002,109,1.0357,76.1,13.388,272.5
EQ002,110,1.0492,76.46,13.404,275.0
EQ002,111,1.0581,76.45,13.483,277.5
EQ002,112,1.0552,75.89,13.498,280.0
EQ002,113,1.0821,77.61,13.634,282.5
EQ002,114,1.0871,77.65,13.619,285.0
EQ002,115,1.0754,77.86,13.7,287.5
EQ002,116,1.1005,78.3,13.662,290.0
EQ002,117,1.0953,78.97,13.63,292.5
EQ002,118,1.0792,78.89,13.695,295.0
EQ002,119,1.104,79.42,13.803,297.5
EQ002,120,1.1304,79.98,13.911,300.0
EQ003,1,0.2753,37.0,7.651,2.5
EQ003,2,0.2744,38.04,7.521,5.0
EQ003,3,0.2657,38.41,7.675,7.5
EQ003,4,0.2782,38.06,7.774,10.0
EQ003,5,0.2814,39.38,7.65,12.5
EQ003,6,0.3057,38.91,7.81,15.0
EQ003,7,0.3,39.29,7.803,17.5
EQ003,8,0.3014,39.97,7.798,20.0
EQ003,9,0.3152,39.59,7.673,22.5
EQ003,10,0.3216,41.27,7.979,25.0
EQ003,11,0.3294,40.51,7.957,27.5
EQ003,12,0.3411,40.46,8.083,30.0
EQ003,13,0.3489,41.54,8.068,32.5
EQ003,14,0.3479,41.84,8.119,35.0
EQ003,15,0.3503,41.66,8.118,37.5
EQ003,16,0.3753,41.71,8.031,40.0
EQ003,17,0.3675,42.54,8.201,42.5
EQ003,18,0.3744,42.74,8.345,45.0
EQ003,19,0.362,42.82,8.257,47.5
EQ003,20,0.3676,43.4,8.437,50.0
EQ003,21,0.3903,43.88,8.242,52.5
EQ003,22,0.39,43.95,8.356,55.0
EQ003,23,0.415,44.64,8.331,57.5
EQ003,24,0.4107,44.93,8.55,60.0
EQ003,25,0.4301,44.64,8.433,62.5
EQ003,26,0.4078,45.27,8.574,65.0
EQ003,27,0.4363,45.65,8.549,67.5
EQ003,28,0.4339,45.66,8.781,70.0
EQ003,29,0.4224,46.39,8.814,72.5
EQ003,30,0.4446,46.56,8.663,75.0
EQ003,31,0.4488,47.5,8.553,77.5
EQ003,32,0.472,46.69,8.747,80.0
EQ003,33,0.4584,47.82,8.68,82.5
EQ003,34,0.4733,48.71,8.737,85.0
EQ003,35,0.4767,47.95,8.919,87.5
EQ003,36,0.481,48.27,8.963,90.0
EQ003,37,0.5049,48.77,9.02,92.5
EQ003,38,0.48,48.78,9.039,95.0
EQ003,39,0.5138,49.62,9.015,97.5
EQ003,40,0.505,49.3,9.127,100.0
EQ003,41,0.5199,49.93,9.08,102.5
EQ003,42,0.5198,50.25,9.151,105.0
EQ003,43,0.5442,50.65,9.166,107.5
EQ003,44,0.5227,51.36,9.219,110.0
EQ003,45,0.5288,51.91,9.386,112.5
EQ003,46,0.5353,50.95,9.392,115.0
EQ003,47,0.5405,52.33,9.192,117.5
EQ003,48,0.5623,51.84,9.447,120.0
EQ003,49,0.5596,52.26,9.395,122.5
EQ003,50,0.5724,53.0,9.513,125.0
EQ003,51,0.5913,52.65,9.634,127.5
EQ003,52,0.5786,53.23,9.437,130.0
EQ003,53,0.5817,54.28,9.572,132.5
EQ003,54,0.6048,53.65,9.62,135.0
EQ003,55,0.5832,54.69,9.731,137.5
EQ003,56,0.5976,53.82,9.715,140.0
EQ003,57,0.6122,55.34,9.836,142.5
EQ003,58,0.6032,55.76,9.872,145.0
EQ003,59,0.6021,55.94,9.775,147.5
EQ003,60,0.6252,56.26,9.815,150.0
EQ003,61,0.6253,56.46,9.806,152.5
EQ003,62,0.6272,57.03,9.839,155.0
EQ003,63,0.6508,57.26,9.832,157.5
EQ003,64,0.6434,57.87,9.93,160.0
EQ003,65,0.6516,57.89,10.11,162.5
EQ003,66,0.6598,57.79,10.2,165.0
EQ003,67,0.6857,58.73,10.132,167.5
EQ003,68,0.6663,58.32,10.206,170.0
EQ003,69,0.6846,59.53,10.255,172.5
EQ003,70,0.6714,59.71,10.162,175.0
EQ003,71,0.6887,59.71,10.44,177.5
EQ003,72,0.7297,60.17,10.304,180.0
EQ003,73,0.71,60.59,10.332,182.5
EQ003,74,0.7286,60.65,10.436,185.0
EQ003,75,0.7234,61.04,10.502,187.5
EQ003,76,0.7166,60.97,10.386,190.0
EQ003,77,0.7332,61.82,10.549,192.5
EQ003,78,0.7516,61.82,10.605,195.0
EQ003,79,0.73,61.98,10.646,197.5
EQ003,80,0.7554,62.34,10.623,200.0
EQ003,81,0.7378,62.63,10.739,202.5
EQ003,82,0.7648,63.29,10.71,205.0
EQ003,83,0.7652,63.14,10.801,207.5
EQ003,84,0.7754,63.92,10.742,210.0
EQ003,85,0.7557,64.48,10.784,212.5
EQ003,86,0.7746,64.63,10.83,215.0
EQ003,87,0.7999,64.92,10.955,217.5
EQ003,88,0.7817,65.47,10.96,220.0
EQ003,89,0.7977,65.36,10.836,222.5
EQ003,90,0.8115,65.21,10.908,225.0
EQ003,91,0.7983,66.38,11.005,227.5
EQ003,92,0.8349,66.04,10.957,230.0
EQ003,93,0.8144,67.06,11.12,232.5
EQ003,94,0.8261,66.95,11.212,235.0
EQ003,95,0.8489,67.78,11.181,237.5
EQ003,96,0.8305,67.35,11.27,240.0
EQ003,97,0.8401,67.45,11.315,242.5
EQ003,98,0.8553,68.16,11.266,245.0
EQ003,99,0.8596,68.1,11.436,247.5
EQ003,100,0.8783,68.05,11.33,250.0
EQ003,101,0.859,68.84,11.436,252.5
EQ003,102,0.8655,69.05,11.401,255.0
EQ003,103,0.8881,69.76,11.462,257.5
EQ003,104,0.8939,69.83,11.537,260.0
EQ003,105,0.9149,70.9,11.494,262.5
EQ003,106,0.9125,71.01,11.545,265.0
EQ003,107,0.9184,71.61,11.585,267.5
EQ003,108,0.9071,71.72,11.736,270.0
EQ003,109,0.9279,71.77,11.784,272.5
EQ003,110,0.9151,72.37,11.885,275.0
EQ003,111,0.9322,72.25,11.708,277.5
EQ003,112,0.9456,72.81,11.864,280.0
EQ003,113,0.9578,72.76,11.953,282.5
EQ003,114,0.9424,73.2,11.932,285.0
EQ003,115,0.9609,73.38,11.975,287.5
EQ003,116,0.973,73.67,11.895,290.0
EQ003,117,0.9882,74.72,11.959,292.5
EQ003,118,0.9837,74.28,12.123,295.0
EQ003,119,0.9858,74.7,12.077,297.5
EQ003,120,0.982,74.75,12.112,300.0
EQ004,1,0.345,36.76,7.987,2.5
EQ004,2,0.3675,37.2,7.995,5.0
EQ004,3,0.3646,38.0,8.025,7.5
EQ004,4,0.3739,38.39,7.963,10.0
EQ004,5,0.3822,38.93,8.044,12.5
EQ004,6,0.3808,39.23,8.132,15.0
EQ004,7,0.3981,40.29,8.129,17.5
EQ004,8,0.3806,39.85,8.292,20.0
EQ004,9,0.399,40.69,8.171,22.5
EQ004,10,0.4152,40.25,8.458,25.0
EQ004,11,0.4352,40.57,8.32,27.5
EQ004,12,0.4308,41.1,8.403,30.0
EQ004,13,0.4295,40.87,8.449,32.5
EQ004,14,0.4293,41.82,8.609,35.0
EQ004,15,0.4306,42.73,8.514,37.5
EQ004,16,0.4473,43.1,8.607,40.0
EQ004,17,0.4628,43.55,8.596,42.5
EQ004,18,0.4579,43.11,8.6,45.0
EQ004,19,0.5005,44.43,8.601,47.5
EQ004,20,0.4647,44.5,8.796,50.0
EQ004,21,0.4904,44.59,8.785,52.5
EQ004,22,0.4952,45.11,8.661,55.0
EQ004,23,0.4966,45.12,8.895,57.5
EQ004,24,0.5357,45.99,8.899,60.0
EQ004,25,0.522,46.42,9.001,62.5
EQ004,26,0.5258,47.43,8.92,65.0
EQ004,27,0.5314,46.62,9.098,67.5
EQ004,28,0.5245,47.2,9.073,70.0
EQ004,29,0.5504,48.12,9.04,72.5
EQ004,30,0.5482,47.85,9.083,75.0
EQ004,31,0.5524,48.39,9.42,77.5
EQ004,32,0.5659,48.35,9.224,80.0
EQ004,33,0.5787,50.12,9.186,82.5
EQ004,34,0.5567,50.41,9.387,85.0
EQ004,35,0.5737,50.26,9.188,87.5
EQ004,36,0.5894,50.56,9.516,90.0
EQ004,37,0.5862,50.84,9.411,92.5
EQ004,38,0.6059,50.83,9.496,95.0
EQ004,39,0.6003,51.83,9.64,97.5
EQ004,40,0.6149,51.97,9.499,100.0
EQ004,41,0.6212,52.32,9.867,102.5
EQ004,42,0.6201,53.31,9.78,105.0
EQ004,43,0.641,53.81,9.774,107.5
EQ004,44,0.649,53.46,9.885,110.0
EQ004,45,0.663,53.62,9.724,112.5
EQ004,46,0.657,53.93,9.868,115.0
EQ004,47,0.6784,54.45,9.913,117.5
EQ004,48,0.6736,55.35,9.78,120.0
EQ004,49,0.6739,55.48,10.098,122.5
EQ004,50,0.682,55.03,10.095,125.0
EQ004,51,0.6875,55.68,10.039,127.5
EQ004,52,0.699,56.3,9.955,130.0
EQ004,53,0.7168,57.43,10.227,132.5
EQ004,54,0.7034,57.23,10.218,135.0
EQ004,55,0.7277,57.96,10.202,137.5
EQ004,56,0.7295,58.25,10.421,140.0
EQ004,57,0.7427,58.77,10.354,142.5
EQ004,58,0.7567,59.0,10.322,145.0
EQ004,59,0.7636,59.5,10.398,147.5
EQ004,60,0.7518,59.72,10.514,150.0
EQ004,61,0.7655,60.11,10.656,152.5
EQ004,62,0.7812,60.44,10.638,155.0
EQ004,63,0.7671,60.91,10.751,157.5
EQ004,64,0.7822,60.79,10.597,160.0
EQ004,65,0.7805,61.2,10.663,162.5
EQ004,66,0.7843,61.9,10.808,165.0
EQ004,67,0.7962,62.88,10.819,167.5
EQ004,68,0.8226,62.39,10.89,170.0
EQ004,69,0.8083,63.4,10.879,172.5
EQ004,70,0.8317,62.95,10.836,175.0
EQ004,71,0.8391,63.42,10.988,177.5
EQ004,72,0.8265,64.53,10.896,180.0
EQ004,73,0.8526,64.82,10.982,182.5
EQ004,74,0.8599,65.05,11.037,185.0
EQ004,75,0.8509,64.55,11.151,187.5
EQ004,76,0.8523,65.75,11.146,190.0
EQ004,77,0.8817,65.98,11.183,192.5
EQ004,78,0.8892,66.61,11.278,195.0
EQ004,79,0.8936,66.25,11.356,197.5
EQ004,80,0.902,66.84,11.32,200.0
EQ004,81,0.9024,67.57,11.409,202.5
EQ004,82,0.9241,68.44,11.32,205.0
EQ004,83,0.923,68.92,11.499,207.5
EQ004,84,0.9346,69.58,11.593,210.0
EQ004,85,0.9332,69.57,11.566,212.5
EQ004,86,0.9379,69.4,11.723,215.0
EQ004,87,0.9364,70.53,11.681,217.5
EQ004,88,0.9376,70.45,11.516,220.0
EQ004,89,0.9648,71.04,11.68,222.5
EQ004,90,0.9667,71.85,11.73,225.0
EQ004,91,0.9619,72.04,11.97,227.5
EQ004,92,0.9795,72.23,11.964,230.0
EQ004,93,0.979,72.02,11.998,232.5
EQ004,94,1.0102,72.82,11.872,235.0
EQ004,95,1.0202,72.76,11.959,237.5
EQ004,96,1.0107,73.98,12.097,240.0
EQ004,97,1.0184,73.93,12.076,242.5
EQ004,98,1.0268,73.11,12.091,245.0
EQ004,99,1.0306,74.04,12.189,247.5
EQ004,100,1.0331,75.59,12.327,250.0
EQ004,101,1.0374,75.21,12.239,252.5
EQ004,102,1.0446,75.73,12.227,255.0
EQ004,103,1.0447,76.28,12.381,257.5
EQ004,104,1.055,76.77,12.323,260.0
EQ004,105,1.0725,77.13,12.414,262.5
EQ004,106,1.0815,76.97,12.444,265.0
EQ004,107,1.0818,77.26,12.489,267.5
EQ004,108,1.0754,77.75,12.524,270.0
EQ004,109,1.0953,78.23,12.585,272.5
EQ004,110,1.1096,79.06,12.581,275.0
EQ004,111,1.0997,78.67,12.637,277.5
EQ004,112,1.1152,79.17,12.615,280.0
EQ004,113,1.1211,79.93,12.81,282.5
EQ004,114,1.1271,80.07,12.731,285.0
EQ004,115,1.1393,80.28,12.894,287.5
EQ004,116,1.1287,80.86,12.915,290.0
EQ004,117,1.1554,82.46,12.962,292.5
EQ004,118,1.1505,81.73,12.835,295.0
EQ004,119,1.1667,81.82,13.094,297.5
EQ004,120,1.1689,82.48,13.013,300.0
EQ005,1,0.3223,37.09,8.84,2.5
EQ005,2,0.3229,37.78,8.777,5.0
EQ005,3,0.3286,37.18,8.778,7.5
EQ005,4,0.343,38.3,8.742,10.0
EQ005,5,0.344,39.37,9.007,12.5
EQ005,6,0.3538,39.44,8.932,15.0
EQ005,7,0.3473,39.05,9.14,17.5
EQ005,8,0.3715,39.69,9.044,20.0
EQ005,9,0.4032,40.81,9.299,22.5
EQ005,10,0.3924,40.65,9.053,25.0
EQ005,11,0.4187,40.43,9.246,27.5
EQ005,12,0.4028,41.03,9.215,30.0
EQ005,13,0.4176,41.42,9.291,32.5
EQ005,14,0.442,41.56,9.406,35.0
EQ005,15,0.4557,42.16,9.385,37.5
EQ005,16,0.4511,43.21,9.511,40.0
EQ005,17,0.458,43.3,9.461,42.5
EQ005,18,0.4801,43.64,9.578,45.0
EQ005,19,0.4748,43.49,9.698,47.5
EQ005,20,0.5053,43.95,9.746,50.0
EQ005,21,0.4821,44.34,9.76,52.5
EQ005,22,0.5038,44.57,9.763,55.0
EQ005,23,0.5257,45.24,9.69,57.5
EQ005,24,0.5115,45.44,9.959,60.0
EQ005,25,0.5151,45.85,9.934,62.5
EQ005,26,0.5664,46.26,10.06,65.0
EQ005,27,0.5638,45.93,10.145,67.5
EQ005,28,0.5744,47.36,10.451,70.0
EQ005,29,0.5613,48.21,10.167,72.5
EQ005,30,0.595,47.87,10.21,75.0
EQ005,31,0.5963,48.39,10.176,77.5
EQ005,32,0.6194,48.46,10.26,80.0
EQ005,33,0.6173,49.5,10.361,82.5
EQ005,34,0.6353,49.07,10.518,85.0
EQ005,35,0.6485,50.47,10.497,87.5
EQ005,36,0.6582,50.14,10.668,90.0
EQ005,37,0.6542,50.77,10.602,92.5
EQ005,38,0.6707,50.87,10.691,95.0
EQ005,39,0.6801,51.29,10.851,97.5
EQ005,40,0.701,51.92,10.741,100.0
EQ005,41,0.6921,52.32,10.901,102.5
EQ005,42,0.7257,52.07,10.866,105.0
EQ005,43,0.7044,52.52,11.018,107.5
EQ005,44,0.7261,53.3,10.976,110.0
EQ005,45,0.7439,52.95,11.052,112.5
EQ005,46,0.7206,53.71,10.968,115.0
EQ005,47,0.7725,54.46,11.189,117.5
EQ005,48,0.7856,54.14,11.345,120.0
EQ005,49,0.7896,54.79,11.35,122.5
EQ005,50,0.7791,54.92,11.263,125.0
EQ005,51,0.7948,55.2,11.463,127.5
EQ005,52,0.8074,56.13,11.373,130.0
EQ005,53,0.8017,56.47,11.319,132.5
EQ005,54,0.8291,56.18,11.685,135.0
EQ005,55,0.8488,57.14,11.68,137.5
EQ005,56,0.8411,57.68,11.649,140.0
EQ005,57,0.8621,58.34,11.745,142.5
EQ005,58,0.8723,57.54,11.663,145.0
EQ005,59,0.8781,58.61,11.703,147.5
EQ005,60,0.9133,59.54,11.895,150.0
EQ005,61,0.8998,59.22,11.824,152.5
EQ005,62,0.9098,59.78,11.854,155.0
EQ005,63,0.9222,59.98,11.854,157.5
EQ005,64,0.9202,60.24,12.211,160.0
EQ005,65,0.9443,60.24,12.153,162.5
EQ005,66,0.9331,61.58,12.129,165.0
EQ005,67,0.9576,62.04,12.118,167.5
EQ005,68,0.9544,61.65,12.357,170.0
EQ005,69,0.9631,61.12,12.291,172.5
EQ005,70,0.9937,63.1,12.344,175.0
EQ005,71,0.994,63.45,12.285,177.5
EQ005,72,1.0041,63.43,12.524,180.0
EQ005,73,1.0128,63.74,12.342,182.5
EQ005,74,1.0213,64.27,12.516,185.0
EQ005,75,1.0383,64.64,12.621,187.5
EQ005,76,1.0493,64.44,12.685,190.0
EQ005,77,1.0636,65.26,12.708,192.5
EQ005,78,1.0697,65.85,12.644,195.0
EQ005,79,1.0889,65.8,12.896,197.5
EQ005,80,1.0992,65.75,12.858,200.0
EQ005,81,1.0943,66.35,13.107,202.5
EQ005,82,1.0985,66.81,13.038,205.0
EQ005,83,1.1049,67.25,13.101,207.5
EQ005,84,1.1235,67.73,13.087,210.0
EQ005,85,1.1216,68.27,13.323,212.5
EQ005,86,1.1469,68.6,13.291,215.0
EQ005,87,1.1439,69.56,13.305,217.5
EQ005,88,1.1828,68.95,13.488,220.0
EQ005,89,1.1841,69.83,13.415,222.5
EQ005,90,1.1838,70.46,13.461,225.0
EQ005,91,1.1765,69.9,13.488,227.5
EQ005,92,1.2092,70.69,13.654,230.0
EQ005,93,1.1965,71.14,13.464,232.5
EQ005,94,1.2335,71.42,13.697,235.0
EQ005,95,1.2272,72.33,13.8,237.5
EQ005,96,1.2515,72.14,13.816,240.0
EQ005,97,1.2485,72.9,13.955,242.5
EQ005,98,1.2762,72.63,13.906,245.0
EQ005,99,1.2625,73.52,13.966,247.5
EQ005,100,1.2666,73.2,13.961,250.0
EQ005,101,1.2922,73.55,14.068,252.5
EQ005,102,1.3076,74.32,14.03,255.0
EQ005,103,1.3255,75.43,14.105,257.5
