sample_id,material,speed_rpm,feed_rate,depth_of_cut,coolant_temp,spindle_load,dimension_error,is_defect
S0069,不锈钢,1540.4,0.215,2.59,29.2,39.6,0.08,1
S0070,45#钢,2065.8,0.266,2.7,27.2,46.5,0.0594,1
S0071,45#钢,1130.1,0.131,0.9,35.8,47.4,0.0495,0
S0072,45#钢,1939.2,0.32,0.77,48.2,90.3,0.0827,1
S0073,不锈钢,1872.7,0.165,1.19,33.1,64.1,0.0106,0
S0074,铝合金,947.7,0.188,2.85,48.9,65.7,0.0357,1
S0075,45#钢,1592.4,0.185,1.39,33.3,36.2,0.0103,0
S0076,45#钢,2057.7,0.308,2.74,45.7,64.9,0.0867,1
S0077,铝合金,1869.1,0.251,0.92,30.5,56.8,0.0087,0
S0078,不锈钢,1687.5,0.183,0.84,26.6,49.8,0.0341,0
S0079,45#钢,1270.6,0.161,3.46,24.4,66.5,0.0259,0
S0080,不锈钢,1962.2,0.19,1.06,42.1,90.8,0.0187,0
S0081,铝合金,1264.0,0.369,1.12,31.7,60.5,0.0131,0
S0082,铝合金,1275.2,0.303,1.01,36.4,67.0,0.0823,1
S0083,45#钢,982.4,0.446,1.56,46.3,50.3,0.0279,0
S0084,45#钢,1435.4,0.222,3.57,46.9,92.9,0.1401,1
S0085,不锈钢,1135.6,0.123,2.95,39.2,85.5,0.0642,1
S0086,45#钢,1958.9,0.333,2.23,32.8,87.6,0.0288,0
S0087,不锈钢,1470.9,0.232,2.03,31.0,79.9,0.0249,0
S0088,45#钢,1606.6,0.417,2.56,25.5,91.4,0.0167,0
S0089,45#钢,1081.1,0.378,2.55,38.0,88.6,0.0131,0
S0090,45#钢,1867.1,0.112,2.38,44.9,87.6,0.113,1
S0091,45#钢,2000.4,0.145,1.81,45.9,44.0,0.1257,1
S0092,铝合金,1605.5,0.188,1.64,27.4,89.5,0.0346,0
S0093,45#钢,1500.6,0.432,1.01,39.6,65.4,0.0216,0
S0094,铝合金,2099.2,0.348,1.0,39.3,71.4,0.0309,0
S0095,铝合金,2114.7,0.424,1.99,25.4,94.1,0.0208,0
S0096,铝合金,1418.7,0.119,1.61,46.1,35.3,0.0364,0
S0097,45#钢,1598.6,0.422,1.64,32.4,79.3,0.0161,0
S0098,45#钢,1129.3,0.274,1.88,49.4,56.7,0.0025,0
S0099,铝合金,917.0,0.332,1.09,50.8,43.9,0.0586,0
S0100,45#钢,1874.9,0.173,3.46,28.2,46.4,0.0987,1
S0101,铝合金,985.4,0.371,2.0,37.7,61.4,0.0023,0
S0102,45#钢,2020.3,0.431,1.73,30.1,73.6,0.0231,0
S0103,45#钢,1103.0,0.351,2.67,22.8,48.3,0.0758,1
S0104,铝合金,1209.6,0.135,1.3,43.7,86.3,0.018,0
S0105,45#钢,1768.5,0.172,1.47,48.9,35.8,0.0986,1
S0106,不锈钢,1962.7,0.22,1.36,33.4,70.4,0.0012,0
S0107,铝合金,1432.2,0.293,1.94,30.8,91.9,0.0346,0
S0108,铝合金,1452.8,0.108,1.39,38.2,73.0,0.0195,0
S0109,45#钢,1985.4,0.445,2.23,27.2,51.3,0.0799,1
S0110,铝合金,1978.7,0.172,0.54,26.1,89.0,0.0283,0
S0111,铝合金,1680.7,0.333,1.08,49.4,60.1,0.0106,0
S0112,45#钢,1859.4,0.129,2.49,29.4,58.4,0.0204,0
S0113,45#钢,1834.8,0.204,2.37,36.3,74.8,0.0071,0
S0114,45#钢,1240.9,0.308,0.67,36.9,70.8,0.0305,0
S0115,铝合金,1038.6,0.126,2.9,36.9,76.3,0.0306,0
S0116,铝合金,1803.1,0.195,2.45,32.8,40.5,0.0116,0
S0117,45#钢,2135.3,0.256,1.11,38.3,87.4,0.0284,0
S0118,铝合金,2004.0,0.187,2.12,28.6,94.3,0.0362,0
S0119,45#钢,1817.2,0.424,1.1,39.0,89.9,0.1177,1
S0120,不锈钢,2127.5,0.266,3.34,47.3,54.1,0.0358,0
S0121,45#钢,1675.2,0.181,0.9,24.3,76.8,0.0161,0
S0122,45#钢,1601.3,0.377,1.55,40.8,88.2,0.022,0
S0123,45#钢,931.7,0.405,0.57,48.2,66.7,0.0383,0
S0124,45#钢,1523.8,0.32,3.38,51.5,81.1,0.0835,1
S0125,铝合金,1210.4,0.139,1.67,30.6,52.8,0.0195,0
S0126,45#钢,1783.5,0.176,3.63,45.6,40.4,0.1338,1
S0127,不锈钢,1507.6,0.315,1.05,51.7,48.9,0.0375,0
S0128,铝合金,1199.9,0.162,1.23,27.6,81.8,0.0443,0
S0129,45#钢,2159.8,0.409,3.56,51.8,45.4,0.0843,1
S0130,不锈钢,1191.8,0.178,2.27,39.8,69.8,0.1459,1
S0131,45#钢,1068.4,0.411,3.65,47.9,83.6,0.0799,1
S0132,45#钢,1237.7,0.353,2.14,24.4,48.2,0.0216,0
S0133,45#钢,2006.6,0.273,2.09,39.8,84.5,0.0916,1
S0134,不锈钢,1936.7,0.33,3.31,48.0,77.5,0.0477,0
S0135,铝合金,1784.2,0.317,2.98,26.8,87.9,0.0144,0
S0136,铝合金,1109.0,0.386,3.25,37.2,35.4,0.0969,1
S0137,不锈钢,1721.4,0.191,2.59,38.2,81.8,0.1408,1
S0138,45#钢,1722.4,0.426,0.84,50.1,76.3,0.1077,1
S0139,铝合金,987.6,0.304,1.64,40.6,37.7,0.0116,0
S0140,铝合金,932.0,0.108,1.57,36.7,81.2,0.0257,0
S0141,45#钢,1255.7,0.449,1.91,35.5,44.8,0.0047,0
S0142,45#钢,1784.6,0.329,1.4,50.5,44.1,0.0306,0
S0143,不锈钢,1445.6,0.323,1.81,30.2,94.0,0.0164,0
S0144,45#钢,940.5,0.328,1.72,47.9,63.4,0.0253,0
S0145,45#钢,2029.2,0.372,3.04,47.3,80.7,0.1267,1
S0146,45#钢,1052.5,0.144,2.76,34.9,47.0,0.0306,0
S0147,45#钢,1656.6,0.194,3.13,31.3,62.3,0.0958,1
S0148,铝合金,1279.2,0.343,3.34,45.4,37.4,0.0581,1
S0149,45#钢,2182.7,0.15,2.15,40.5,77.1,0.0069,0
S0150,45#钢,943.2,0.128,1.81,26.0,69.1,0.0206,0
S0151,不锈钢,1160.2,0.159,0.85,41.1,77.4,0.1569,1
S0152,铝合金,1942.2,0.219,3.19,24.4,88.7,0.1308,1
S0153,45#钢,1736.7,0.284,2.91,24.4,38.6,0.1077,1
S0154,铝合金,1547.7,0.294,2.87,28.9,94.8,0.0121,0
S0155,铝合金,1159.4,0.338,0.74,22.9,50.5,0.026,0
S0156,铝合金,1453.1,0.221,1.72,51.6,37.4,0.0297,0
S0157,铝合金,1470.2,0.354,2.11,48.2,89.0,0.1428,1
S0158,45#钢,1709.9,0.321,2.92,25.9,77.9,0.0036,0
S0159,45#钢,1208.8,0.44,1.1,47.6,64.5,0.0988,1
S0160,45#钢,1670.8,0.157,1.79,51.1,50.5,0.0359,0
S0161,45#钢,1905.5,0.146,3.7,35.6,49.2,0.0881,1
S0162,不锈钢,1460.2,0.187,2.54,43.2,45.0,0.0437,1
S0163,铝合金,1762.9,0.266,3.29,46.2,70.1,0.0161,0
S0164,45#钢,974.2,0.286,3.59,23.2,42.3,0.0171,0
S0165,不锈钢,1311.0,0.278,0.64,26.5,94.2,0.0337,0
S0166,45#钢,1570.3,0.271,2.7,26.2,36.8,0.1216,1
S0167,45#钢,1775.5,0.439,0.81,42.2,61.6,0.0282,0
S0168,不锈钢,2128.0,0.339,2.14,40.5,87.1,0.0487,1
S0169,不锈钢,1796.4,0.337,1.21,41.8,58.6,0.0245,0
S0170,不锈钢,962.7,0.442,1.84,48.1,81.9,0.1078,1
S0171,不锈钢,1425.4,0.214,2.7,46.2,80.7,0.089,1
S0172,铝合金,907.5,0.214,1.71,33.9,76.7,0.0161,0
S0173,45#钢,1208.8,0.231,1.25,24.2,71.2,0.0097,0
S0174,45#钢,2022.3,0.282,2.08,22.8,55.5,0.0538,0
S0175,45#钢,1654.2,0.287,2.51,44.9,83.8,0.0909,1
S0176,不锈钢,978.3,0.427,1.66,25.0,64.2,0.0242,0
S0177,45#钢,1299.5,0.381,2.28,31.3,71.6,0.011,0
S0178,45#钢,1135.5,0.338,1.1,37.8,77.5,0.0038,0
S0179,铝合金,1233.5,0.437,2.1,46.2,68.0,0.1152,1
S0180,不锈钢,2049.5,0.18,1.2,40.3,59.7,0.0221,0
S0181,不锈钢,1359.4,0.183,3.08,30.2,84.4,0.0998,1
S0182,45#钢,1662.6,0.159,2.93,47.9,48.0,0.0661,1
S0183,铝合金,1689.2,0.291,1.27,33.7,70.7,0.0079,0
S0184,45#钢,1832.9,0.342,3.77,25.9,41.2,0.0446,0
S0185,铝合金,1256.4,0.128,0.78,48.8,46.5,0.0103,0
S0186,45#钢,1574.8,0.124,3.14,29.0,67.4,0.0016,0
S0187,铝合金,1592.8,0.214,1.6,42.1,94.6,0.0451,0
S0188,45#钢,978.2,0.297,3.66,27.3,76.4,0.1092,1
S0189,45#钢,1485.5,0.365,1.65,41.9,82.7,0.012,0
S0190,45#钢,2190.2,0.424,2.28,47.3,66.3,0.0011,0
S0191,45#钢,1881.9,0.145,3.23,45.5,77.5,0.0728,1
S0192,45#钢,2118.0,0.294,1.51,33.9,61.8,0.0067,0
S0193,铝合金,2095.2,0.274,3.77,47.5,47.5,0.0212,0
S0194,45#钢,2041.4,0.404,3.16,45.7,53.3,0.0908,1
S0195,45#钢,1803.4,0.221,3.72,41.2,84.3,0.1582,1
S0196,45#钢,1553.3,0.24,0.98,33.0,39.1,0.0663,1
S0197,不锈钢,1614.4,0.438,1.93,31.4,65.4,0.0242,0
S0198,45#钢,1705.5,0.328,1.0,23.8,81.8,0.0081,0
S0199,45#钢,2193.3,0.12,2.79,51.5,49.4,0.0626,1
S0200,铝合金,981.0,0.278,3.79,46.4,71.9,0.0993,1
