sample_id,speed_rpm,feed_rate,depth_of_cut,coolant_temp,spindle_load,dimension_error,is_defect,material_removal_rate,mat_45#钢,mat_不锈钢,mat_铝合金,speed_rpm_z,feed_rate_z,depth_of_cut_z,coolant_temp_z,spindle_load_z,material_removal_rate_z
S0012,1541.9,0.283,1.91,22.8,41.5,0.134,1,0.5405,0,0,1,-0.13,0.02905,-0.10923,-1.66822,-1.33205,-0.01963
S0013,1561.1,0.418,1.32,34.3,80.3,0.0697,1,0.5518,1,0,0,-0.0796,1.35165,-0.75435,-0.3728,0.79971,0.01703
S0014,1950.6,0.322,3.38,46.1,46.2,0.0136,0,1.0884,0,1,0,0.94284,0.41113,1.4981,0.95641,-1.07382,1.75791
S0015,1949.7,0.414,1.55,25.3,48.7,0.0244,0,0.6417,0,0,1,0.94047,1.31247,-0.50287,-1.3866,-0.93647,0.30869
S0016,1564.0,0.246,1.23,25.6,55.3,0.0239,0,0.3026,1,0,0,-0.07199,-0.33344,-0.85276,-1.35281,-0.57385,-0.79145
S0017,1574.4,0.346,1.7,51.2,92.7,0.054,1,0.5882,1,0,0,-0.04469,0.64626,-0.33885,1.5309,1.481,0.13512
S0018,1692.4,0.276,0.67,30.4,89.5,0.0712,1,0.1849,1,0,0,0.26506,-0.03953,-1.46508,-0.81211,1.30518,-1.1733
S0019,2181.3,0.185,2.72,44.8,49.3,0.041,0,0.5032,1,0,0,1.54843,-0.93107,0.77644,0.80997,-0.9035,-0.14064
S0020,1596.5,0.132,3.26,31.6,46.2,0.0862,1,0.4303,0,0,1,0.01332,-1.45031,1.36689,-0.67694,-1.07382,-0.37715
S0021,921.6,0.279,1.25,41.4,45.5,0.0293,0,0.3488,0,0,1,-1.7583,-0.01014,-0.83089,0.42698,-1.11228,-0.64156
S0022,1343.4,0.14,3.55,48.3,50.5,0.0176,0,0.497,1,0,0,-0.65107,-1.37193,1.68398,1.20423,-0.83757,-0.16076
S0023,1621.8,0.285,1.3,24.8,88.8,0.0016,0,0.3705,0,1,0,0.07973,0.04864,-0.77622,-1.44293,1.26672,-0.57116
S0024,1843.7,0.414,3.43,45.4,73.5,0.0908,1,1.42,1,0,0,0.66222,1.31247,1.55277,0.87756,0.42611,2.83371
S0025,1688.4,0.103,0.83,41.9,35.3,0.1401,1,0.0855,0,1,0,0.25456,-1.73443,-1.29013,0.4833,-1.67269,-1.49578
S0026,1825.8,0.183,1.57,44.4,74.0,0.0271,0,0.2873,1,0,0,0.61524,-0.95066,-0.481,0.76492,0.45358,-0.84109
S0027,1638.8,0.133,1.71,30.0,49.6,0.0332,0,0.2274,0,0,1,0.12436,-1.44051,-0.32792,-0.85717,-0.88702,-1.03542
S0028,1933.3,0.276,2.4,36.8,46.7,0.0164,0,0.6624,0,0,1,0.89742,-0.03953,0.42654,-0.09119,-1.04635,0.37585
S0029,931.6,0.326,1.08,50.2,92.2,0.0181,0,0.3521,1,0,0,-1.73205,0.45032,-1.01678,1.41826,1.45353,-0.63086
S0030,2152.7,0.399,1.47,33.6,86.1,0.0847,1,0.5865,0,1,0,1.47335,1.16551,-0.59034,-0.45165,1.11838,0.1296
S0031,2117.0,0.344,2.38,24.9,71.9,0.0209,0,0.8187,0,0,1,1.37964,0.62667,0.40468,-1.43166,0.3382,0.88293
S0032,1863.0,0.344,2.82,32.8,52.6,0.0029,0,0.9701,0,1,0,0.71289,0.62667,0.88578,-0.54177,-0.72219,1.37411
S0033,2027.2,0.42,2.19,37.0,82.9,0.0343,0,0.9198,0,1,0,1.14391,1.37125,0.19693,-0.06866,0.94256,1.21092
S0034,1339.4,0.231,0.81,39.3,37.2,0.0298,0,0.1871,0,1,0,-0.66157,-0.4804,-1.312,0.19043,-1.5683,-1.16616
S0035,1272.5,0.307,0.6,23.1,84.4,0.021,0,0.1842,0,0,1,-0.83718,0.26418,-1.54162,-1.63442,1.02498,-1.17557
S0036,1180.6,0.318,0.78,23.6,66.9,0.0038,0,0.248,0,0,1,-1.07842,0.37195,-1.3448,-1.5781,0.06349,-0.96859
S0037,1843.9,0.442,2.2,31.7,82.7,0.0501,1,0.9724,0,0,1,0.66275,1.58678,0.20786,-0.66568,0.93158,1.38157
S0038,1986.8,0.344,1.85,27.2,44.4,0.0183,0,0.6364,0,1,0,1.03786,0.62667,-0.17484,-1.17258,-1.17272,0.29149
S0039,1829.0,0.331,1.42,50.6,79.3,0.0001,0,0.47,0,0,1,0.62364,0.49931,-0.64501,1.46332,0.74477,-0.24835
S0040,1362.8,0.365,0.55,25.5,37.8,0.1561,1,0.2008,1,0,0,-0.60014,0.83241,-1.59629,-1.36408,-1.53534,-1.12172
S0041,1516.4,0.134,2.12,36.2,45.4,0.0445,0,0.2841,0,0,1,-0.19694,-1.43072,0.12039,-0.15877,-1.11777,-0.85147
S0042,958.9,0.231,2.57,37.1,86.4,0.0015,0,0.5937,0,0,1,-1.66039,-0.4804,0.61243,-0.05739,1.13486,0.15296
S0043,991.7,0.325,0.59,39.6,91.4,0.0438,0,0.1918,1,0,0,-1.57429,0.44053,-1.55255,0.22422,1.40957,-1.15091
S0044,1609.3,0.43,1.77,50.8,89.3,0.047,1,0.7611,1,0,0,0.04692,1.46922,-0.26231,1.48584,1.29419,0.69606
S0045,923.7,0.133,2.75,24.1,54.1,0.0107,0,0.3658,1,0,0,-1.75279,-1.44051,0.80924,-1.52178,-0.63978,-0.58641
S0046,1717.6,0.407,2.93,46.1,51.9,0.1147,1,1.1925,0,0,1,0.33121,1.24389,1.00606,0.95641,-0.76065,2.09564
S0047,2187.7,0.244,1.73,45.3,55.4,0.0167,0,0.4221,0,1,0,1.56523,-0.35304,-0.30605,0.8663,-0.56835,-0.40376
S0048,1880.9,0.136,3.48,37.2,84.6,0.1481,1,0.4733,0,0,1,0.75987,-1.41112,1.60744,-0.04613,1.03597,-0.23765
S0049,914.1,0.417,0.8,31.6,92.0,0.0487,0,0.3336,1,0,0,-1.77799,1.34186,-1.32293,-0.67694,1.44254,-0.69087
S0050,1281.2,0.215,2.72,44.6,82.5,0.036,0,0.5848,1,0,0,-0.81435,-0.63715,0.77644,0.78745,0.92059,0.12409
S0051,1542.7,0.12,2.31,35.2,88.3,0.0292,0,0.2772,1,0,0,-0.1279,-1.56788,0.32814,-0.27142,1.23925,-0.87385
S0052,1009.3,0.345,0.74,46.7,77.4,0.0872,1,0.2553,1,0,0,-1.52809,0.63647,-1.38854,1.024,0.64038,-0.9449
S0053,1386.6,0.23,3.18,50.4,94.2,0.1114,1,0.7314,0,1,0,-0.53767,-0.4902,1.27942,1.44079,1.56341,0.5997
S0054,1451.5,0.417,0.87,36.8,35.7,0.0168,0,0.3628,0,0,1,-0.36731,1.34186,-1.24639,-0.09119,-1.65072,-0.59614
S0055,1054.5,0.141,2.64,44.4,70.0,0.0017,0,0.3722,1,0,0,-1.40944,-1.36214,0.68897,0.76492,0.23381,-0.56565
S0056,1190.7,0.437,0.54,51.1,37.6,0.0073,0,0.236,0,1,0,-1.05191,1.5378,-1.60722,1.51964,-1.54633,-1.00752
S0057,2190.9,0.126,2.33,51.1,66.4,0.0135,0,0.2936,0,0,1,1.57363,-1.50909,0.35001,1.51964,0.03601,-0.82065
S0058,1659.6,0.415,0.65,30.4,92.0,0.0479,0,0.2698,0,0,1,0.17896,1.32226,-1.48695,-0.81211,1.44254,-0.89786
S0059,1706.2,0.197,1.12,35.9,56.2,0.0087,0,0.2206,1,0,0,0.30128,-0.8135,-0.97304,-0.19257,-0.5244,-1.05748
S0060,1790.2,0.157,3.51,46.7,92.0,0.1145,1,0.5511,0,1,0,0.52179,-1.20538,1.64025,1.024,1.44254,0.01476
S0061,2112.5,0.403,0.65,22.8,57.6,0.0057,0,0.262,1,0,0,1.36783,1.2047,-1.48695,-1.66822,-0.44748,-0.92317
S0062,1994.8,0.393,2.05,34.4,51.4,0.1495,1,0.8056,0,1,0,1.05886,1.10673,0.04385,-0.36153,-0.78812,0.84043
S0063,2199.6,0.449,2.33,45.1,91.7,0.0153,0,1.0462,0,1,0,1.59646,1.65536,0.35001,0.84377,1.42606,1.621
S0064,2140.3,0.312,1.25,42.2,72.1,0.0451,1,0.39,1,0,0,1.4408,0.31316,-0.83089,0.5171,0.34919,-0.5079
S0065,1576.4,0.37,2.22,47.6,68.1,0.0163,0,0.8214,0,0,1,-0.03944,0.88139,0.22973,1.12538,0.12942,0.89169
S0066,937.4,0.364,2.55,43.1,47.8,0.0757,1,0.9282,1,0,0,-1.71682,0.82261,0.59056,0.61848,-0.98591,1.23818
S0067,1666.9,0.237,1.94,49.1,55.9,0.0127,0,0.4598,1,0,0,0.19812,-0.42162,-0.07643,1.29435,-0.54088,-0.28145
S0068,2021.1,0.432,0.99,49.8,64.5,0.1167,1,0.4277,0,0,1,1.1279,1.48881,-1.11518,1.3732,-0.06838,-0.38559
S0069,1540.4,0.215,2.59,29.2,39.6,0.08,1,0.5568,0,1,0,-0.13394,-0.63715,0.6343,-0.94729,-1.43644,0.03325
S0070,2065.8,0.266,2.7,27.2,46.5,0.0594,1,0.7182,1,0,0,1.24524,-0.1375,0.75457,-1.17258,-1.05734,0.55688
S0071,1130.1,0.131,0.9,35.8,47.4,0.0495,0,0.1179,1,0,0,-1.21098,-1.46011,-1.21359,-0.20383,-1.00789,-1.39067
S0072,1939.2,0.32,0.77,48.2,90.3,0.0827,1,0.2464,1,0,0,0.91291,0.39154,-1.35574,1.19297,1.34914,-0.97378
S0073,1872.7,0.165,1.19,33.1,64.1,0.0106,0,0.1964,0,1,0,0.73835,-1.12701,-0.8965,-0.50797,-0.09035,-1.13599
S0074,947.7,0.188,2.85,48.9,65.7,0.0357,1,0.5358,0,0,1,-1.68979,-0.90167,0.91859,1.27182,-0.00244,-0.03488
S0075,1592.4,0.185,1.39,33.3,36.2,0.0103,0,0.2572,1,0,0,0.00256,-0.93107,-0.67781,-0.48544,-1.62324,-0.93874
S0076,2057.7,0.308,2.74,45.7,64.9,0.0867,1,0.8439,1,0,0,1.22398,0.27398,0.79831,0.91135,-0.0464,0.96468
S0077,1869.1,0.251,0.92,30.5,56.8,0.0087,0,0.2309,0,0,1,0.7289,-0.28446,-1.19172,-0.80085,-0.49143,-1.02406
S0078,1687.5,0.183,0.84,26.6,49.8,0.0341,0,0.1537,0,1,0,0.2522,-0.95066,-1.2792,-1.24017,-0.87603,-1.27452
S0079,1270.6,0.161,3.46,24.4,66.5,0.0259,0,0.5571,1,0,0,-0.84217,-1.1662,1.58557,-1.48799,0.04151,0.03422
S0080,1962.2,0.19,1.06,42.1,90.8,0.0187,0,0.2014,0,1,0,0.97329,-0.88208,-1.03864,0.50583,1.37661,-1.11977
S0081,1264.0,0.369,1.12,31.7,60.5,0.0131,0,0.4133,0,0,1,-0.8595,0.8716,-0.97304,-0.66568,-0.28815,-0.43231
S0082,1275.2,0.303,1.01,36.4,67.0,0.0823,1,0.306,0,0,1,-0.8301,0.22499,-1.09332,-0.13624,0.06898,-0.78042
S0083,982.4,0.446,1.56,46.3,50.3,0.0279,0,0.6958,1,0,0,-1.5987,1.62597,-0.49193,0.97894,-0.84856,0.4842
S0084,1435.4,0.222,3.57,46.9,92.9,0.1401,1,0.7925,1,0,0,-0.40957,-0.56857,1.70585,1.04653,1.49199,0.79793
S0085,1135.6,0.123,2.95,39.2,85.5,0.0642,1,0.3628,0,1,0,-1.19655,-1.53848,1.02793,0.17916,1.08541,-0.59614
S0086,1958.9,0.333,2.23,32.8,87.6,0.0288,0,0.7426,1,0,0,0.96462,0.5189,0.24066,-0.54177,1.20079,0.63604
S0087,1470.9,0.232,2.03,31.0,79.9,0.0249,0,0.471,0,1,0,-0.31638,-0.4706,0.02198,-0.74453,0.77774,-0.24511
S0088,1606.6,0.417,2.56,25.5,91.4,0.0167,0,1.0675,1,0,0,0.03983,1.34186,0.60149,-1.36408,1.40957,1.6901
S0089,1081.1,0.378,2.55,38.0,88.6,0.0131,0,0.9639,1,0,0,-1.33961,0.95977,0.59056,0.04399,1.25574,1.354
S0090,1867.1,0.112,2.38,44.9,87.6,0.113,1,0.2666,1,0,0,0.72365,-1.64625,0.40468,0.82124,1.20079,-0.90824
S0091,2000.4,0.145,1.81,45.9,44.0,0.1257,1,0.2624,1,0,0,1.07356,-1.32295,-0.21858,0.93388,-1.19469,-0.92187
S0092,1605.5,0.188,1.64,27.4,89.5,0.0346,0,0.3083,0,0,1,0.03695,-0.90167,-0.40446,-1.15005,1.30518,-0.77296
S0093,1500.6,0.432,1.01,39.6,65.4,0.0216,0,0.4363,1,0,0,-0.23842,1.48881,-1.09332,0.22422,-0.01893,-0.35769
S0094,2099.2,0.348,1.0,39.3,71.4,0.0309,0,0.348,0,0,1,1.33291,0.66586,-1.10425,0.19043,0.31073,-0.64416
S0095,2114.7,0.424,1.99,25.4,94.1,0.0208,0,0.8438,0,0,1,1.3736,1.41044,-0.02176,-1.37534,1.55792,0.96436
S0096,1418.7,0.119,1.61,46.1,35.3,0.0364,0,0.1916,0,0,1,-0.45341,-1.57767,-0.43726,0.95641,-1.67269,-1.15156
S0097,1598.6,0.422,1.64,32.4,79.3,0.0161,0,0.6921,1,0,0,0.01883,1.39084,-0.40446,-0.58682,0.74477,0.4722
S0098,1129.3,0.274,1.88,49.4,56.7,0.0025,0,0.5151,1,0,0,-1.21308,-0.05913,-0.14204,1.32814,-0.49693,-0.10204
S0099,917.0,0.332,1.09,50.8,43.9,0.0586,0,0.3619,0,0,1,-1.77037,0.50911,-1.00584,1.48584,-1.20019,-0.59906
S0100,1874.9,0.173,3.46,28.2,46.4,0.0987,1,0.5986,1,0,0,0.74412,-1.04863,1.58557,-1.05993,-1.06283,0.16886
S0101,985.4,0.371,2.0,37.7,61.4,0.0023,0,0.742,0,0,1,-1.59082,0.89119,-0.01082,0.01019,-0.2387,0.63409
S0102,2020.3,0.431,1.73,30.1,73.6,0.0231,0,0.7456,1,0,0,1.1258,1.47902,-0.30605,-0.84591,0.4316,0.64577
S0103,1103.0,0.351,2.67,22.8,48.3,0.0758,1,0.9372,1,0,0,-1.28212,0.69525,0.72177,-1.66822,-0.95844,1.26737
S0104,1209.6,0.135,1.3,43.7,86.3,0.018,0,0.1755,0,0,1,-1.0023,-1.42092,-0.77622,0.68606,1.12937,-1.2038
S0105,1768.5,0.172,1.47,48.9,35.8,0.0986,1,0.2528,1,0,0,0.46482,-1.05843,-0.59034,1.27182,-1.64522,-0.95301
S0106,1962.7,0.22,1.36,33.4,70.4,0.0012,0,0.2992,0,1,0,0.9746,-0.58817,-0.71062,-0.47418,0.25578,-0.80248
S0107,1432.2,0.293,1.94,30.8,91.9,0.0346,0,0.5684,0,0,1,-0.41797,0.12702,-0.07643,-0.76706,1.43704,0.07088
S0108,1452.8,0.108,1.39,38.2,73.0,0.0195,0,0.1501,0,0,1,-0.36389,-1.68544,-0.67781,0.06652,0.39863,-1.2862
S0109,1985.4,0.445,2.23,27.2,51.3,0.0799,1,0.9924,1,0,0,1.03419,1.61618,0.24066,-1.17258,-0.79361,1.44646
S0110,1978.7,0.172,0.54,26.1,89.0,0.0283,0,0.0929,0,0,1,1.0166,-1.05843,-1.60722,-1.29649,1.27771,-1.47177
S0111,1680.7,0.333,1.08,49.4,60.1,0.0106,0,0.3596,0,0,1,0.23435,0.5189,-1.01678,1.32814,-0.31012,-0.60652
S0112,1859.4,0.129,2.49,29.4,58.4,0.0204,0,0.3212,1,0,0,0.70344,-1.4797,0.52495,-0.92476,-0.40352,-0.7311
S0113,1834.8,0.204,2.37,36.3,74.8,0.0071,0,0.4835,1,0,0,0.63886,-0.74492,0.39374,-0.14751,0.49753,-0.20456
S0114,1240.9,0.308,0.67,36.9,70.8,0.0305,0,0.2064,1,0,0,-0.92013,0.27398,-1.46508,-0.07992,0.27776,-1.10355
S0115,1038.6,0.126,2.9,36.9,76.3,0.0306,0,0.3654,0,0,1,-1.45117,-1.50909,0.97326,-0.07992,0.57994,-0.58771
S0116,1803.1,0.195,2.45,32.8,40.5,0.0116,0,0.4778,0,0,1,0.55565,-0.83309,0.48122,-0.54177,-1.38699,-0.22305
S0117,2135.3,0.256,1.11,38.3,87.4,0.0284,0,0.2842,1,0,0,1.42768,-0.23547,-0.98397,0.07778,1.1898,-0.85114
S0118,2004.0,0.187,2.12,28.6,94.3,0.0362,0,0.3964,0,0,1,1.08301,-0.91147,0.12039,-1.01488,1.56891,-0.48713
S0119,1817.2,0.424,1.1,39.0,89.9,0.1177,1,0.4664,1,0,0,0.59266,1.41044,-0.99491,0.15663,1.32716,-0.26003
S0120,2127.5,0.266,3.34,47.3,54.1,0.0358,0,0.8884,0,1,0,1.4072,-0.1375,1.45436,1.09159,-0.63978,1.10905
S0121,1675.2,0.181,0.9,24.3,76.8,0.0161,0,0.1629,1,0,0,0.21991,-0.97025,-1.21359,-1.49925,0.60742,-1.24467
S0122,1601.3,0.377,1.55,40.8,88.2,0.022,0,0.5844,1,0,0,0.02592,0.94997,-0.50287,0.35939,1.23376,0.12279
S0123,931.7,0.405,0.57,48.2,66.7,0.0383,0,0.2308,1,0,0,-1.73179,1.22429,-1.57442,1.19297,0.0525,-1.02439
S0124,1523.8,0.32,3.38,51.5,81.1,0.0835,1,1.0816,1,0,0,-0.17752,0.39154,1.4981,1.5647,0.84367,1.73585
S0125,1210.4,0.139,1.67,30.6,52.8,0.0195,0,0.2321,0,0,1,-1.0002,-1.38173,-0.37166,-0.78959,-0.7112,-1.02017
S0126,1783.5,0.176,3.63,45.6,40.4,0.1338,1,0.6389,1,0,0,0.5042,-1.01924,1.77146,0.90009,-1.39249,0.2996
S0127,1507.6,0.315,1.05,51.7,48.9,0.0375,0,0.3308,0,1,0,-0.22004,0.34255,-1.04958,1.58723,-0.92548,-0.69996
S0128,1199.9,0.162,1.23,27.6,81.8,0.0443,0,0.1993,0,0,1,-1.02776,-1.1564,-0.85276,-1.12752,0.88213,-1.12658
S0129,2159.8,0.409,3.56,51.8,45.4,0.0843,1,1.456,1,0,0,1.49199,1.26348,1.69492,1.59849,-1.11777,2.95051
S0130,1191.8,0.178,2.27,39.8,69.8,0.1459,1,0.4041,0,1,0,-1.04902,-0.99965,0.2844,0.24675,0.22282,-0.46215
S0131,1068.4,0.411,3.65,47.9,83.6,0.0799,1,1.5001,1,0,0,-1.37295,1.28307,1.79333,1.15917,0.98102,3.09358
S0132,1237.7,0.353,2.14,24.4,48.2,0.0216,0,0.7554,1,0,0,-0.92853,0.71484,0.14225,-1.48799,-0.96394,0.67756
S0133,2006.6,0.273,2.09,39.8,84.5,0.0916,1,0.5706,1,0,0,1.08984,-0.06892,0.08758,0.24675,1.03047,0.07802
S0134,1936.7,0.33,3.31,48.0,77.5,0.0477,0,1.0923,0,1,0,0.90635,0.48951,1.42156,1.17044,0.64587,1.77056
S0135,1784.2,0.317,2.98,26.8,87.9,0.0144,0,0.9447,0,0,1,0.50604,0.36215,1.06073,-1.21764,1.21728,1.29171
S0136,1109.0,0.386,3.25,37.2,35.4,0.0969,1,1.2545,0,0,1,-1.26637,1.03815,1.35596,-0.04613,-1.6672,2.29679
S0137,1721.4,0.191,2.59,38.2,81.8,0.1408,1,0.4947,0,1,0,0.34118,-0.87228,0.6343,0.06652,0.88213,-0.16822
S0138,1722.4,0.426,0.84,50.1,76.3,0.1077,1,0.3578,1,0,0,0.34381,1.43003,-1.2792,1.40699,0.57994,-0.61236
S0139,987.6,0.304,1.64,40.6,37.7,0.0116,0,0.4986,0,0,1,-1.58505,0.23479,-0.40446,0.33687,-1.54083,-0.15557
S0140,932.0,0.108,1.57,36.7,81.2,0.0257,0,0.1696,0,0,1,-1.731,-1.68544,-0.481,-0.10245,0.84916,-1.22294
S0141,1255.7,0.449,1.91,35.5,44.8,0.0047,0,0.8576,1,0,0,-0.88128,1.65536,-0.10923,-0.23762,-1.15074,1.00913
S0142,1784.6,0.329,1.4,50.5,44.1,0.0306,0,0.4606,1,0,0,0.50709,0.47971,-0.66688,1.45205,-1.1892,-0.27885
S0143,1445.6,0.323,1.81,30.2,94.0,0.0164,0,0.5846,0,1,0,-0.38279,0.42093,-0.21858,-0.83464,1.55242,0.12344
S0144,940.5,0.328,1.72,47.9,63.4,0.0253,0,0.5642,1,0,0,-1.70869,0.46992,-0.31698,1.15917,-0.12881,0.05726
S0145,2029.2,0.372,3.04,47.3,80.7,0.1267,1,1.1309,1,0,0,1.14916,0.90099,1.12634,1.09159,0.82169,1.89579
S0146,1052.5,0.144,2.76,34.9,47.0,0.0306,0,0.3974,1,0,0,-1.41469,-1.33275,0.82018,-0.30521,-1.02987,-0.48389
S0147,1656.6,0.194,3.13,31.3,62.3,0.0958,1,0.6072,1,0,0,0.17108,-0.84289,1.22474,-0.71073,-0.18925,0.19676
S0148,1279.2,0.343,3.34,45.4,37.4,0.0581,1,1.1456,0,0,1,-0.8196,0.61687,1.45436,0.87756,-1.55731,1.94348
S0149,2182.7,0.15,2.15,40.5,77.1,0.0069,0,0.3225,1,0,0,1.5521,-1.27396,0.15319,0.3256,0.6239,-0.72689
S0150,943.2,0.128,1.81,26.0,69.1,0.0206,0,0.2317,1,0,0,-1.7016,-1.4895,-0.21858,-1.30775,0.18436,-1.02147
S0151,1160.2,0.159,0.85,41.1,77.4,0.1569,1,0.1352,0,1,0,-1.13197,-1.18579,-1.26826,0.39319,0.64038,-1.33454
S0152,1942.2,0.219,3.19,24.4,88.7,0.1308,1,0.6986,0,0,1,0.92079,-0.59796,1.29035,-1.48799,1.26123,0.49329
S0153,1736.7,0.284,2.91,24.4,38.6,0.1077,1,0.8264,1,0,0,0.38135,0.03885,0.98419,-1.48799,-1.49138,0.90791
S0154,1547.7,0.294,2.87,28.9,94.8,0.0121,0,0.8438,0,0,1,-0.11478,0.13682,0.94045,-0.98108,1.59638,0.96436
S0155,1159.4,0.338,0.74,22.9,50.5,0.026,0,0.2501,0,0,1,-1.13407,0.56789,-1.38854,-1.65695,-0.83757,-0.96177
S0156,1453.1,0.221,1.72,51.6,37.4,0.0297,0,0.3801,0,0,1,-0.36311,-0.57837,-0.31698,1.57596,-1.55731,-0.54002
S0157,1470.2,0.354,2.11,48.2,89.0,0.1428,1,0.7469,0,0,1,-0.31822,0.72464,0.10945,1.19297,1.27771,0.64999
S0158,1709.9,0.321,2.92,25.9,77.9,0.0036,0,0.9373,1,0,0,0.311,0.40134,0.99513,-1.31902,0.66785,1.2677
S0159,1208.8,0.44,1.1,47.6,64.5,0.0988,1,0.484,1,0,0,-1.0044,1.56719,-0.99491,1.12538,-0.06838,-0.20293
S0160,1670.8,0.157,1.79,51.1,50.5,0.0359,0,0.281,1,0,0,0.20836,-1.20538,-0.24044,1.51964,-0.83757,-0.86152
S0161,1905.5,0.146,3.7,35.6,49.2,0.0881,1,0.5402,1,0,0,0.82445,-1.31315,1.848,-0.22636,-0.90899,-0.02061
S0162,1460.2,0.187,2.54,43.2,45.0,0.0437,1,0.475,0,1,0,-0.34447,-0.91147,0.57962,0.62974,-1.13975,-0.23213
S0163,1762.9,0.266,3.29,46.2,70.1,0.0161,0,0.8751,0,0,1,0.45012,-0.1375,1.39969,0.96768,0.2393,1.0659
S0164,974.2,0.286,3.59,23.2,42.3,0.0171,0,1.0267,1,0,0,-1.62022,0.05844,1.72772,-1.62316,-1.2881,1.55774
S0165,1311.0,0.278,0.64,26.5,94.2,0.0337,0,0.1779,0,1,0,-0.73612,-0.01994,-1.49788,-1.25143,1.56341,-1.19601
S0166,1570.3,0.271,2.7,26.2,36.8,0.1216,1,0.7317,1,0,0,-0.05545,-0.08852,0.75457,-1.28522,-1.59028,0.60067
S0167,1775.5,0.439,0.81,42.2,61.6,0.0282,0,0.3556,1,0,0,0.4832,1.55739,-1.312,0.5171,-0.22771,-0.6195
S0168,2128.0,0.339,2.14,40.5,87.1,0.0487,1,0.7255,0,1,0,1.40851,0.57768,0.14225,0.3256,1.17332,0.58056
S0169,1796.4,0.337,1.21,41.8,58.6,0.0245,0,0.4078,0,1,0,0.53806,0.55809,-0.87463,0.47204,-0.39254,-0.45015
S0170,962.7,0.442,1.84,48.1,81.9,0.1078,1,0.8133,0,1,0,-1.65041,1.58678,-0.18577,1.1817,0.88762,0.86541
S0171,1425.4,0.214,2.7,46.2,80.7,0.089,1,0.5778,0,1,0,-0.43582,-0.64695,0.75457,0.96768,0.82169,0.10138
S0172,907.5,0.214,1.71,33.9,76.7,0.0161,0,0.3659,0,0,1,-1.79531,-0.64695,-0.32792,-0.41786,0.60192,-0.58608
S0173,1208.8,0.231,1.25,24.2,71.2,0.0097,0,0.2888,1,0,0,-1.0044,-0.4804,-0.83089,-1.51051,0.29974,-0.83622
S0174,2022.3,0.282,2.08,22.8,55.5,0.0538,0,0.5866,1,0,0,1.13105,0.01925,0.07665,-1.66822,-0.56286,0.12993
S0175,1654.2,0.287,2.51,44.9,83.8,0.0909,1,0.7204,1,0,0,0.16478,0.06824,0.54682,0.82124,0.99201,0.56401
S0176,978.3,0.427,1.66,25.0,64.2,0.0242,0,0.7088,0,1,0,-1.60946,1.43983,-0.38259,-1.4204,-0.08486,0.52638
S0177,1299.5,0.381,2.28,31.3,71.6,0.011,0,0.8687,1,0,0,-0.76631,0.98916,0.29533,-0.71073,0.32172,1.04514
S0178,1135.5,0.338,1.1,37.8,77.5,0.0038,0,0.3718,1,0,0,-1.19681,0.56789,-0.99491,0.02146,0.64587,-0.56694
S0179,1233.5,0.437,2.1,46.2,68.0,0.1152,1,0.9177,0,0,1,-0.93956,1.5378,0.09852,0.96768,0.12392,1.20411
S0180,2049.5,0.18,1.2,40.3,59.7,0.0221,0,0.216,0,1,0,1.20245,-0.98005,-0.88556,0.30307,-0.3321,-1.0724
S0181,1359.4,0.183,3.08,30.2,84.4,0.0998,1,0.5636,0,1,0,-0.60907,-0.95066,1.17007,-0.83464,1.02498,0.05531
