equipment_id,cycle,runtime_hours,vib_mean,vib_std,vib_max,temp_mean,temp_std,curr_mean,health_score,alert_level
EQ001,31,77.5,0.5255,0.0246,0.5567,46.72,1.27,9.104,74.6,正常
EQ001,32,80.0,0.5339,0.0236,0.5691,47.24,1.32,9.132,73.5,正常
EQ001,33,82.5,0.5404,0.0207,0.5691,47.67,1.33,9.174,72.9,正常
EQ001,34,85.0,0.5468,0.0201,0.5734,48.11,1.28,9.222,72.1,正常
EQ001,35,87.5,0.5537,0.0182,0.5798,48.6,1.2,9.262,71.3,正常
EQ001,36,90.0,0.5617,0.0192,0.6,48.96,1.17,9.296,70.1,正常
EQ001,37,92.5,0.5703,0.0203,0.6112,49.32,1.22,9.345,69.1,关注
EQ001,38,95.0,0.5754,0.0226,0.6112,49.75,1.26,9.405,68.4,关注
EQ001,39,97.5,0.5814,0.022,0.6112,50.11,1.18,9.419,68.0,关注
EQ001,40,100.0,0.5901,0.0262,0.641,50.54,1.15,9.487,66.2,关注
EQ001,41,102.5,0.5979,0.0256,0.641,51.02,1.11,9.542,65.4,关注
EQ001,42,105.0,0.6075,0.0304,0.6647,51.48,1.39,9.585,64.0,关注
EQ001,43,107.5,0.6178,0.0299,0.6647,51.93,1.46,9.62,63.4,关注
EQ001,44,110.0,0.626,0.0278,0.6647,52.35,1.4,9.657,62.8,关注
EQ001,45,112.5,0.6348,0.0256,0.6674,52.75,1.43,9.701,62.1,关注
EQ001,46,115.0,0.6434,0.027,0.6868,53.23,1.39,9.754,60.7,关注
EQ001,47,117.5,0.6497,0.026,0.6868,53.68,1.36,9.771,60.3,关注
EQ001,48,120.0,0.6564,0.0229,0.6868,54.11,1.38,9.8,59.7,关注
EQ001,49,122.5,0.6675,0.0226,0.7168,54.65,1.29,9.842,58.0,关注
EQ001,50,125.0,0.6762,0.0271,0.7283,55.17,1.3,9.863,57.0,关注
EQ001,51,127.5,0.6847,0.0248,0.7283,55.56,1.22,9.886,56.5,关注
EQ001,52,130.0,0.6919,0.0282,0.7369,56.0,1.45,9.926,55.6,关注
EQ001,53,132.5,0.6985,0.0284,0.7369,56.38,1.42,9.958,55.1,关注
EQ001,54,135.0,0.7054,0.0253,0.7369,56.87,1.37,9.994,54.5,关注
EQ001,55,137.5,0.7133,0.0244,0.7458,57.27,1.23,10.03,53.7,关注
EQ001,56,140.0,0.7199,0.0254,0.7533,57.66,1.17,10.033,53.0,关注
EQ001,57,142.5,0.7292,0.0237,0.7665,58.18,1.3,10.09,51.8,关注
EQ001,58,145.0,0.7387,0.0186,0.7703,58.61,1.25,10.132,51.1,关注
EQ001,59,147.5,0.7444,0.0196,0.7731,59.04,1.31,10.184,50.3,关注
EQ001,60,150.0,0.7519,0.0255,0.8034,59.43,1.38,10.215,48.7,预警
EQ001,61,152.5,0.7594,0.0247,0.8034,59.88,1.28,10.253,48.1,预警
EQ001,62,155.0,0.7668,0.0278,0.8111,60.28,1.46,10.272,47.4,预警
EQ001,63,157.5,0.7769,0.0306,0.8305,60.76,1.39,10.308,46.1,预警
EQ001,64,160.0,0.7861,0.0271,0.8305,61.09,1.31,10.354,45.6,预警
EQ001,65,162.5,0.7954,0.0277,0.8393,61.59,1.22,10.388,44.6,预警
EQ001,66,165.0,0.8046,0.0274,0.8452,62.02,1.06,10.444,43.7,预警
EQ001,67,167.5,0.8136,0.0281,0.8561,62.34,1.14,10.471,42.9,预警
EQ001,68,170.0,0.8208,0.0252,0.8561,62.83,1.22,10.504,42.3,预警
EQ001,69,172.5,0.8283,0.0207,0.8561,63.3,1.4,10.53,41.8,预警
EQ001,70,175.0,0.8345,0.0214,0.8645,63.76,1.45,10.578,40.8,预警
EQ001,71,177.5,0.8425,0.0182,0.8706,64.24,1.45,10.62,39.9,预警
EQ001,72,180.0,0.8509,0.0211,0.8958,64.65,1.55,10.661,38.4,预警
EQ001,73,182.5,0.8567,0.0227,0.8958,65.11,1.58,10.69,37.9,预警
EQ001,74,185.0,0.8627,0.0188,0.8958,65.67,1.46,10.728,37.2,预警
EQ001,75,187.5,0.8677,0.0186,0.8958,66.09,1.39,10.77,36.6,预警
EQ001,76,190.0,0.8774,0.0274,0.942,66.59,1.28,10.806,34.3,预警
EQ001,77,192.5,0.8846,0.0301,0.942,67.14,1.27,10.836,33.7,预警
EQ001,78,195.0,0.8933,0.0293,0.942,67.55,1.23,10.866,33.2,预警
EQ001,79,197.5,0.9032,0.0291,0.9471,68.01,1.4,10.912,32.4,预警
EQ001,80,200.0,0.9119,0.0293,0.9515,68.43,1.36,10.927,31.7,预警
EQ001,81,202.5,0.9219,0.0306,0.971,68.87,1.34,10.96,30.5,预警
EQ001,82,205.0,0.9326,0.0374,1.0022,69.32,1.34,10.994,28.8,危险
EQ001,83,207.5,0.9411,0.0361,1.0022,69.81,1.4,11.041,28.1,危险
EQ001,84,210.0,0.9507,0.0298,1.0022,70.27,1.44,11.066,27.6,危险
EQ001,85,212.5,0.9631,0.0274,1.0134,70.8,1.38,11.095,26.5,危险
EQ001,86,215.0,0.9705,0.0305,1.0157,71.25,1.31,11.145,25.8,危险
EQ001,87,217.5,0.9793,0.0296,1.0158,71.6,1.29,11.183,25.3,危险
EQ001,88,220.0,0.9893,0.028,1.0294,72.05,1.18,11.225,24.2,危险
EQ001,89,222.5,0.9963,0.0252,1.0294,72.45,1.27,11.276,23.6,危险
EQ001,90,225.0,1.0036,0.0215,1.0294,72.9,1.21,11.337,22.9,危险
EQ001,91,227.5,1.0108,0.0214,1.0428,73.37,1.2,11.368,21.8,危险
EQ001,92,230.0,1.0162,0.025,1.056,73.79,1.16,11.419,20.7,危险
EQ001,93,232.5,1.0259,0.0257,1.0717,74.3,1.4,11.46,19.5,危险
EQ001,94,235.0,1.0358,0.0219,1.0717,74.71,1.42,11.5,18.9,危险
EQ001,95,237.5,1.0425,0.024,1.0795,75.1,1.43,11.542,18.1,危险
EQ001,96,240.0,1.0506,0.0272,1.0974,75.5,1.36,11.582,17.2,危险
EQ001,97,242.5,1.0596,0.029,1.1056,75.97,1.27,11.608,16.8,危险
EQ001,98,245.0,1.0661,0.0288,1.1056,76.48,1.31,11.648,16.6,危险
EQ001,99,247.5,1.0742,0.0252,1.1056,76.89,1.27,11.676,16.4,危险
EQ001,100,250.0,1.084,0.0229,1.1223,77.32,1.22,11.699,15.7,危险
EQ001,101,252.5,1.0918,0.0208,1.1223,77.71,1.17,11.758,15.3,危险
EQ001,102,255.0,1.0992,0.0199,1.1299,78.21,1.23,11.8,14.8,危险
EQ001,103,257.5,1.1071,0.023,1.1512,78.53,1.33,11.836,13.8,危险
EQ001,104,260.0,1.1149,0.0227,1.1512,78.93,1.31,11.879,13.6,危险
EQ001,105,262.5,1.1216,0.0209,1.1512,79.44,1.39,11.911,13.4,危险
EQ001,106,265.0,1.1286,0.0233,1.1677,79.93,1.33,11.937,12.7,危险
EQ001,107,267.5,1.136,0.0264,1.1797,80.36,1.29,11.999,11.9,危险
EQ001,108,270.0,1.1434,0.024,1.1797,80.76,1.37,12.052,11.6,危险
EQ001,109,272.5,1.1515,0.0211,1.1801,81.2,1.3,12.087,11.4,危险
EQ001,110,275.0,1.1593,0.0231,1.2,81.67,1.32,12.131,10.4,危险
EQ001,111,277.5,1.1685,0.0243,1.2127,82.19,1.32,12.159,10.2,危险
EQ001,112,280.0,1.1767,0.0237,1.2127,82.61,1.42,12.199,10.0,危险
EQ001,113,282.5,1.1837,0.0255,1.2213,83.03,1.32,12.242,9.8,危险
EQ001,114,285.0,1.1917,0.026,1.2296,83.43,1.12,12.284,9.5,危险
EQ001,115,287.5,1.2005,0.0237,1.2336,83.82,1.21,12.328,9.3,危险
EQ001,116,290.0,1.2087,0.0249,1.249,84.28,1.31,12.364,9.1,危险
EQ001,117,292.5,1.2167,0.0272,1.2604,84.73,1.28,12.4,8.9,危险
EQ001,118,295.0,1.2268,0.0262,1.2695,85.14,1.25,12.431,8.7,危险
EQ001,119,297.5,1.2354,0.0234,1.2695,85.64,1.28,12.467,8.5,危险
EQ001,120,300.0,1.2452,0.0268,1.298,86.06,1.3,12.498,8.3,危险
EQ002,10,25.0,0.3257,0.0235,0.3744,37.31,1.29,8.528,92.4,正常
EQ002,11,27.5,0.3327,0.0249,0.3744,37.63,1.14,8.567,91.9,正常
EQ002,12,30.0,0.3403,0.0223,0.3744,38.13,1.16,8.622,91.2,正常
EQ002,13,32.5,0.3463,0.0247,0.383,38.46,1.22,8.67,90.3,正常
EQ002,14,35.0,0.355,0.0284,0.4056,38.8,1.12,8.709,89.0,正常
EQ002,15,37.5,0.3621,0.027,0.4056,39.12,1.01,8.744,88.5,正常
EQ002,16,40.0,0.3684,0.0282,0.4056,39.46,0.96,8.777,88.1,正常
EQ002,17,42.5,0.3766,0.0223,0.4056,39.81,0.97,8.818,87.6,正常
EQ002,18,45.0,0.386,0.0201,0.4237,40.16,0.99,8.842,86.5,正常
EQ002,19,47.5,0.3927,0.0192,0.4237,40.47,1.0,8.879,86.0,正常
EQ002,20,50.0,0.3996,0.0233,0.4432,40.7,1.0,8.921,84.9,正常
EQ002,21,52.5,0.4062,0.023,0.4432,41.16,0.97,8.972,84.2,正常
EQ002,22,55.0,0.4132,0.0203,0.4432,41.44,1.1,9.015,83.7,正常
EQ002,23,57.5,0.421,0.0221,0.4612,41.79,1.19,9.077,82.4,正常
EQ002,24,60.0,0.4261,0.0238,0.4612,42.16,1.16,9.11,81.9,正常
EQ002,25,62.5,0.4319,0.0207,0.4612,42.52,1.03,9.164,81.3,正常
EQ002,26,65.0,0.4393,0.0219,0.4761,42.85,0.97,9.224,80.1,正常
EQ002,27,67.5,0.4471,0.0184,0.4761,43.23,1.07,9.297,79.4,正常
EQ002,28,70.0,0.4541,0.0212,0.4937,43.59,1.14,9.348,78.2,正常
EQ002,29,72.5,0.4591,0.0183,0.4937,43.96,1.12,9.391,77.6,正常
EQ002,30,75.0,0.4637,0.0194,0.4937,44.41,1.04,9.438,77.0,正常
EQ002,31,77.5,0.4705,0.0201,0.503,44.73,1.11,9.485,76.1,正常
EQ002,32,80.0,0.4785,0.0208,0.5166,45.07,1.1,9.55,75.0,正常
EQ002,33,82.5,0.4842,0.0229,0.518,45.44,1.18,9.587,74.4,正常
EQ002,34,85.0,0.4913,0.0243,0.5282,45.88,1.28,9.649,73.3,正常
EQ002,35,87.5,0.4994,0.0211,0.5282,46.34,1.25,9.685,72.7,正常
EQ002,36,90.0,0.5059,0.0228,0.5407,46.77,1.17,9.723,71.7,正常
EQ002,37,92.5,0.5131,0.0227,0.5452,47.06,1.1,9.753,71.1,正常
EQ002,38,95.0,0.5191,0.0247,0.5542,47.45,1.14,9.799,70.2,正常
EQ002,39,97.5,0.5294,0.0235,0.5728,47.82,1.08,9.856,68.9,关注
EQ002,40,100.0,0.5377,0.0222,0.5728,48.17,1.07,9.917,68.3,关注
EQ002,41,102.5,0.5436,0.02,0.5728,48.61,1.14,9.971,67.6,关注
EQ002,42,105.0,0.5493,0.0197,0.5741,49.08,1.18,10.005,67.0,关注
EQ002,43,107.5,0.5566,0.0201,0.5905,49.46,1.19,10.045,65.8,关注
EQ002,44,110.0,0.564,0.022,0.6026,49.83,1.28,10.076,64.9,关注
EQ002,45,112.5,0.5728,0.0228,0.6144,50.12,1.23,10.141,63.9,关注
EQ002,46,115.0,0.5807,0.0239,0.6195,50.45,1.19,10.187,63.2,关注
EQ002,47,117.5,0.5865,0.0216,0.6195,50.89,1.05,10.236,62.5,关注
EQ002,48,120.0,0.5941,0.0222,0.6297,51.31,1.17,10.302,61.4,关注
EQ002,49,122.5,0.5991,0.0225,0.6297,51.71,1.09,10.328,60.9,关注
EQ002,50,125.0,0.6048,0.0218,0.6297,52.15,1.09,10.374,60.3,关注
EQ002,51,127.5,0.6116,0.0177,0.6302,52.46,1.09,10.413,59.8,关注
EQ002,52,130.0,0.6194,0.0166,0.6522,52.75,1.12,10.466,58.5,关注
EQ002,53,132.5,0.6255,0.0161,0.6522,53.11,1.15,10.518,57.9,关注
EQ002,54,135.0,0.6316,0.0176,0.6632,53.43,1.2,10.579,56.8,关注
EQ002,55,137.5,0.637,0.0198,0.6691,53.86,1.08,10.616,56.1,关注
EQ002,56,140.0,0.6443,0.0249,0.6928,54.3,1.04,10.664,54.6,关注
EQ002,57,142.5,0.653,0.0244,0.6928,54.67,1.0,10.723,53.9,关注
EQ002,58,145.0,0.6595,0.0259,0.6942,54.98,1.08,10.762,53.4,关注
EQ002,59,147.5,0.6653,0.0235,0.6942,55.32,1.02,10.814,52.8,关注
EQ002,60,150.0,0.6731,0.0227,0.7057,55.72,1.24,10.866,51.8,关注
EQ002,61,152.5,0.6819,0.0212,0.7175,56.14,1.24,10.899,50.8,关注
EQ002,62,155.0,0.6879,0.0205,0.7175,56.51,1.15,10.937,50.3,关注
EQ002,63,157.5,0.6951,0.019,0.7232,56.87,1.12,10.964,49.6,预警
EQ002,64,160.0,0.7027,0.0199,0.7392,57.21,1.04,11.014,48.5,预警
EQ002,65,162.5,0.7117,0.0229,0.7593,57.57,0.98,11.043,47.3,预警
EQ002,66,165.0,0.7167,0.0236,0.7593,57.96,1.13,11.109,46.6,预警
EQ002,67,167.5,0.7216,0.0228,0.7593,58.37,1.16,11.143,46.1,预警
EQ002,68,170.0,0.728,0.0232,0.7593,58.85,1.34,11.174,45.5,预警
EQ002,69,172.5,0.7367,0.0203,0.7685,59.29,1.26,11.24,44.4,预警
EQ002,70,175.0,0.7435,0.0202,0.7738,59.6,1.33,11.266,43.8,预警
EQ002,71,177.5,0.75,0.0212,0.7824,59.94,1.32,11.332,42.9,预警
EQ002,72,180.0,0.757,0.0192,0.7829,60.36,1.27,11.385,42.2,预警
EQ002,73,182.5,0.7651,0.0204,0.8047,60.75,1.2,11.433,40.8,预警
EQ002,74,185.0,0.7725,0.0229,0.8129,61.13,1.02,11.473,39.9,预警
EQ002,75,187.5,0.7767,0.0239,0.8129,61.6,0.98,11.524,39.3,预警
EQ002,76,190.0,0.787,0.0286,0.8454,61.97,1.06,11.557,37.6,预警
EQ002,77,192.5,0.795,0.0254,0.8454,62.33,1.04,11.612,37.0,预警
EQ002,78,195.0,0.8026,0.0246,0.8454,62.62,1.16,11.672,36.4,预警
EQ002,79,197.5,0.809,0.0232,0.8454,62.97,1.15,11.709,35.9,预警
EQ002,80,200.0,0.8169,0.0233,0.8528,63.36,1.17,11.736,35.1,预警
EQ002,81,202.5,0.8242,0.0227,0.8549,63.75,1.12,11.778,34.5,预警
EQ002,82,205.0,0.831,0.0192,0.8549,64.15,1.18,11.833,33.8,预警
EQ002,83,207.5,0.836,0.0182,0.8549,64.55,1.14,11.887,33.2,预警
EQ002,84,210.0,0.8402,0.0172,0.8551,64.93,0.96,11.946,32.6,预警
EQ002,85,212.5,0.8486,0.0166,0.8853,65.27,1.03,12.016,30.8,预警
EQ002,86,215.0,0.8529,0.0203,0.8878,65.58,1.02,12.065,30.2,预警
EQ002,87,217.5,0.8606,0.0211,0.8975,65.97,1.06,12.117,29.2,危险
EQ002,88,220.0,0.8675,0.0226,0.9034,66.33,1.08,12.173,28.4,危险
EQ002,89,222.5,0.8745,0.0216,0.9034,66.68,0.99,12.22,27.8,危险
EQ002,90,225.0,0.8795,0.0217,0.9034,67.0,0.97,12.29,27.2,危险
EQ002,91,227.5,0.8849,0.0216,0.909,67.35,0.95,12.322,26.5,危险
EQ002,92,230.0,0.8924,0.0216,0.9259,67.68,1.03,12.355,25.4,危险
EQ002,93,232.5,0.9007,0.0213,0.9373,68.08,1.14,12.397,24.4,危险
EQ002,94,235.0,0.9082,0.0166,0.9373,68.44,1.06,12.43,23.9,危险
EQ002,95,237.5,0.9149,0.0194,0.9527,68.79,1.09,12.469,22.8,危险
EQ002,96,240.0,0.9193,0.0177,0.9527,69.21,1.11,12.503,22.3,危险
EQ002,97,242.5,0.9254,0.0196,0.9587,69.57,1.18,12.552,21.5,危险
EQ002,98,245.0,0.9302,0.0195,0.9587,69.8,1.08,12.592,21.1,危险
EQ002,99,247.5,0.9389,0.0242,0.9898,70.26,1.16,12.642,19.3,危险
EQ002,100,250.0,0.946,0.0229,0.9898,70.69,1.19,12.682,18.7,危险
EQ002,101,252.5,0.9541,0.0228,0.9903,71.1,1.2,12.753,18.0,危险
EQ002,102,255.0,0.9636,0.028,1.02,71.49,1.22,12.803,16.2,危险
EQ002,103,257.5,0.9697,0.0283,1.02,71.75,1.18,12.857,15.7,危险
EQ002,104,260.0,0.9769,0.0264,1.02,72.14,1.12,12.913,15.1,危险
EQ002,105,262.5,0.9822,0.0262,1.02,72.56,1.2,12.963,14.5,危险
EQ002,106,265.0,0.991,0.0222,1.02,72.9,1.23,13.021,13.8,危险
EQ002,107,267.5,0.9986,0.0229,1.035,73.22,1.22,13.052,12.8,危险
EQ002,108,270.0,1.0065,0.0185,1.035,73.66,0.88,13.091,12.3,危险
EQ002,109,272.5,1.0111,0.0195,1.0357,74.02,1.05,13.139,11.7,危险
EQ002,110,275.0,1.0186,0.0181,1.0492,74.4,1.18,13.193,10.6,危险
EQ002,111,277.5,1.0254,0.0189,1.0581,74.75,1.22,13.234,9.7,危险
EQ002,112,280.0,1.0289,0.0208,1.0581,75.01,1.15,13.284,9.2,危险
EQ002,113,282.5,1.0372,0.0236,1.0821,75.49,1.14,13.344,8.0,危险
EQ002,114,285.0,1.0457,0.0247,1.0871,75.88,1.13,13.392,7.5,危险
EQ002,115,287.5,1.0528,0.0219,1.0871,76.2,1.19,13.444,7.3,危险
EQ002,116,290.0,1.0609,0.0231,1.1005,76.58,1.2,13.486,6.6,危险
EQ002,117,292.5,1.0669,0.0234,1.1005,77.01,1.2,13.527,6.3,危险
EQ002,118,295.0,1.0718,0.0202,1.1005,77.42,1.08,13.571,6.1,危险
EQ002,119,297.5,1.0786,0.0183,1.104,77.75,1.13,13.613,5.7,危险
EQ002,120,300.0,1.0867,0.0212,1.1304,78.1,1.22,13.663,4.4,危险
EQ003,10,25.0,0.2919,0.0183,0.3216,38.99,1.13,7.733,95.9,正常
EQ003,11,27.5,0.2973,0.0204,0.3294,39.34,1.0,7.764,95.3,正常
EQ003,12,30.0,0.304,0.0226,0.3411,39.58,0.94,7.82,94.7,正常
EQ003,13,32.5,0.3123,0.0223,0.3489,39.9,1.02,7.859,94.1,正常
EQ003,14,35.0,0.3193,0.0215,0.3489,40.28,0.97,7.894,93.8,正常
EQ003,15,37.5,0.3261,0.0191,0.3503,40.5,1.0,7.941,93.5,正常
EQ003,16,40.0,0.3331,0.0228,0.3753,40.78,0.9,7.963,92.4,正常
EQ003,17,42.5,0.3399,0.0219,0.3753,41.11,0.89,8.003,92.1,正常
EQ003,18,45.0,0.3472,0.02,0.3753,41.39,0.92,8.057,91.5,正常
EQ003,19,47.5,0.3518,0.0172,0.3753,41.71,0.79,8.116,91.0,正常
EQ003,20,50.0,0.3564,0.0145,0.3753,41.92,0.92,8.162,90.5,正常
EQ003,21,52.5,0.3625,0.0146,0.3903,42.26,0.96,8.19,89.5,正常
EQ003,22,55.0,0.3674,0.0148,0.3903,42.61,0.87,8.217,89.1,正常
EQ003,23,57.5,0.374,0.0192,0.415,42.92,0.98,8.244,87.8,正常
EQ003,24,60.0,0.3803,0.0199,0.415,43.23,1.07,8.287,87.3,正常
EQ003,25,62.5,0.3883,0.0221,0.4301,43.52,1.01,8.318,86.3,正常
EQ003,26,65.0,0.3915,0.0223,0.4301,43.88,0.93,8.373,85.7,正常
EQ003,27,67.5,0.3984,0.0244,0.4363,44.19,0.95,8.407,85.0,正常
EQ003,28,70.0,0.4044,0.025,0.4363,44.48,0.91,8.451,84.6,正常
EQ003,29,72.5,0.4104,0.0211,0.4363,44.84,0.88,8.507,84.0,正常
EQ003,30,75.0,0.4181,0.0178,0.4446,45.16,0.88,8.529,83.2,正常
EQ003,31,77.5,0.424,0.0173,0.4488,45.52,1.01,8.56,82.6,正常
EQ003,32,80.0,0.4322,0.0187,0.472,45.79,0.92,8.599,81.3,正常
EQ003,33,82.5,0.4365,0.0192,0.472,46.11,1.01,8.634,80.8,正常
EQ003,34,85.0,0.4428,0.02,0.4733,46.49,1.19,8.653,80.4,正常
EQ003,35,87.5,0.4474,0.0218,0.4767,46.82,1.08,8.702,79.7,正常
EQ003,36,90.0,0.4547,0.0195,0.481,47.12,1.02,8.741,79.1,正常
EQ003,37,92.5,0.4616,0.0234,0.5049,47.43,1.0,8.788,77.7,正常
EQ003,38,95.0,0.4662,0.022,0.5049,47.74,0.88,8.813,77.3,正常
EQ003,39,97.5,0.4753,0.0209,0.5138,48.07,0.92,8.834,76.5,正常
EQ003,40,100.0,0.4814,0.0198,0.5138,48.34,0.83,8.88,76.0,正常
EQ003,41,102.5,0.4885,0.0196,0.5199,48.58,0.9,8.933,75.4,正常
EQ003,42,105.0,0.4933,0.0208,0.5199,48.94,0.78,8.973,74.9,正常
EQ003,43,107.5,0.5019,0.0223,0.5442,49.22,0.83,9.022,73.5,正常
EQ003,44,110.0,0.5068,0.0208,0.5442,49.49,1.03,9.07,73.0,正常
EQ003,45,112.5,0.512,0.0191,0.5442,49.88,1.12,9.117,72.4,正常
EQ003,46,115.0,0.5174,0.0171,0.5442,50.15,1.01,9.159,71.9,正常
EQ003,47,117.5,0.521,0.0178,0.5442,50.51,1.09,9.177,71.5,正常
EQ003,48,120.0,0.5292,0.0159,0.5623,50.81,0.99,9.218,70.4,正常
EQ003,49,122.5,0.5338,0.0173,0.5623,51.08,0.98,9.255,69.9,关注
EQ003,50,125.0,0.5405,0.0179,0.5724,51.45,0.94,9.294,69.0,关注
EQ003,51,127.5,0.5477,0.022,0.5913,51.72,0.85,9.35,67.8,关注
EQ003,52,130.0,0.5536,0.0216,0.5913,52.02,0.8,9.378,67.3,关注
EQ003,53,132.5,0.5573,0.0229,0.5913,52.38,0.92,9.419,66.8,关注
EQ003,54,135.0,0.5655,0.0237,0.6048,52.61,0.92,9.459,65.9,关注
EQ003,55,137.5,0.571,0.0207,0.6048,52.89,1.07,9.493,65.5,关注
EQ003,56,140.0,0.5772,0.0183,0.6048,53.17,0.88,9.526,65.1,关注
EQ003,57,142.5,0.5844,0.0164,0.6122,53.48,1.04,9.59,64.2,关注
EQ003,58,145.0,0.5885,0.0155,0.6122,53.87,1.09,9.632,63.6,关注
EQ003,59,147.5,0.5927,0.0125,0.6122,54.24,1.11,9.671,63.1,关注
EQ003,60,150.0,0.598,0.0139,0.6252,54.56,1.17,9.701,62.2,关注
EQ003,61,152.5,0.6014,0.0159,0.6253,54.94,1.11,9.718,61.8,关注
EQ003,62,155.0,0.6063,0.0156,0.6272,55.32,1.1,9.758,61.2,关注
EQ003,63,157.5,0.6132,0.0183,0.6508,55.62,1.18,9.784,59.9,关注
EQ003,64,160.0,0.617,0.0201,0.6508,56.04,1.16,9.815,59.4,关注
EQ003,65,162.5,0.6239,0.019,0.6516,56.36,1.18,9.853,58.9,关注
EQ003,66,165.0,0.6301,0.0196,0.6598,56.76,0.89,9.902,58.0,关注
EQ003,67,167.5,0.6374,0.0246,0.6857,57.1,0.93,9.931,56.6,关注
EQ003,68,170.0,0.6437,0.0231,0.6857,57.36,0.88,9.965,56.2,关注
EQ003,69,172.5,0.652,0.0214,0.6857,57.71,0.95,10.012,55.6,关注
EQ003,70,175.0,0.6566,0.0201,0.6857,58.06,0.99,10.047,55.1,关注
EQ003,71,177.5,0.6629,0.0192,0.6887,58.38,0.94,10.111,54.4,关注
EQ003,72,180.0,0.6732,0.0241,0.7297,58.7,0.96,10.157,52.4,关注
EQ003,73,182.5,0.6791,0.0251,0.7297,59.03,0.98,10.207,51.8,关注
EQ003,74,185.0,0.6876,0.026,0.7297,59.31,1.01,10.258,51.3,关注
EQ003,75,187.5,0.6948,0.0249,0.7297,59.62,1.01,10.297,50.8,关注
EQ003,76,190.0,0.7005,0.0227,0.7297,59.94,0.87,10.315,50.5,关注
EQ003,77,192.5,0.7053,0.024,0.7332,60.25,0.93,10.357,49.8,预警
EQ003,78,195.0,0.7138,0.0238,0.7516,60.6,0.79,10.397,48.6,预警
EQ003,79,197.5,0.7183,0.0221,0.7516,60.85,0.8,10.436,48.2,预警
EQ003,80,200.0,0.7267,0.0183,0.7554,61.11,0.81,10.482,47.6,预警
EQ003,81,202.5,0.7316,0.0133,0.7554,61.4,0.78,10.512,47.2,预警
EQ003,82,205.0,0.7351,0.0166,0.7648,61.71,0.85,10.553,46.3,预警
EQ003,83,207.5,0.7407,0.0165,0.7652,61.97,0.86,10.6,45.9,预警
EQ003,84,210.0,0.7453,0.0189,0.7754,62.29,0.91,10.63,45.1,预警
EQ003,85,212.5,0.7486,0.0176,0.7754,62.64,1.02,10.659,44.6,预警
EQ003,86,215.0,0.7544,0.0155,0.7754,63.0,1.01,10.703,44.1,预警
EQ003,87,217.5,0.761,0.0189,0.7999,63.31,1.07,10.744,42.7,预警
EQ003,88,220.0,0.764,0.0196,0.7999,63.68,1.12,10.779,42.2,预警
EQ003,89,222.5,0.7708,0.0183,0.7999,64.02,1.07,10.798,41.8,预警
EQ003,90,225.0,0.7764,0.0211,0.8115,64.31,0.96,10.826,40.9,预警
EQ003,91,227.5,0.7825,0.0175,0.8115,64.68,0.96,10.853,40.5,预警
EQ003,92,230.0,0.7895,0.0224,0.8349,64.95,0.92,10.878,39.2,预警
EQ003,93,232.5,0.7944,0.0219,0.8349,65.35,0.89,10.91,38.7,预警
EQ003,94,235.0,0.7995,0.0228,0.8349,65.65,0.87,10.957,38.2,预警
EQ003,95,237.5,0.8088,0.022,0.8489,65.98,0.98,10.996,37.2,预警
EQ003,96,240.0,0.8144,0.0196,0.8489,66.25,0.95,11.04,36.7,预警
EQ003,97,242.5,0.8184,0.0203,0.8489,66.51,0.9,11.076,36.3,预警
